run_id,case,Gamma,lambda_R,reused,timing_provenance,t_instance_load_seconds,t_reuse_validation_seconds,t_core_prb_seconds,t_exact_certification_seconds,t_post_evaluation_seconds,t_reporting_seconds,t_artifact_write_seconds,t_total_runner_wallclock_seconds
E7-210628-G4-L0500,210628,4,0.05,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0029021999944234267,6.95552139999927,0.0,0.0,0.0,0.0016460000042570755,0.002351200004341081,7.158339000001433
E7-210628-G4-L2000,210628,4,0.2,False,E7_FULL_STAGE_INSTRUMENTATION,0.002428600004350301,5.057261399997515,11.050533300003735,1.0336859000017284,3127.4962118999974,0.06840029999875696,0.004685500003688503,3146.5503903999997
E7-210129-G0-L0025,210129,0,0.0025,False,E7_FULL_STAGE_INSTRUMENTATION,0.0009051000015460886,4.982296800000768,0.15515530000266153,0.0029375000012805685,0.013038999997661449,0.06949380000150995,0.0021250999998301268,5.368131600000197
E7-210129-G0-L0500,210129,0,0.05,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0027476999966893345,5.062538800004404,0.0,0.0,0.0,0.002068000001600012,0.0017566999958944507,5.165919799997937
E7-210129-G0-L2000,210129,0,0.2,False,E7_FULL_STAGE_INSTRUMENTATION,0.0024274000024888664,5.301912400005676,0.09992709999642102,0.0037092999991727993,0.01088970000273548,0.07472939999570372,0.0043667999998433515,5.650926799993613
E7-210129-G2-L0025,210129,2,0.0025,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0009457000051042996,5.115295600000536,0.0,0.0,0.0,0.0014014999978826381,0.003237799995986279,5.218103499995777
E7-210129-G2-L0500,210129,2,0.05,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.002503600000636652,5.027498499999638,0.0,0.0,0.0,0.0013475000014295802,0.0024608000021544285,5.1229545999958646
E7-210129-G2-L2000,210129,2,0.2,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0009319000018876977,5.064129400001548,0.0,0.0,0.0,0.0008316999956150539,0.003103199996985495,5.1848497999963
E7-210129-G4-L0025,210129,4,0.0025,False,E7_FULL_STAGE_INSTRUMENTATION,0.002392199996393174,5.403585599997314,11.869085200007248,0.960737399997015,3016.4583181000053,0.055709500004013535,0.0045226000002003275,3036.6142795999986
E7-210129-G4-L0500,210129,4,0.05,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.001000100004603155,5.358850199998415,0.0,0.0,0.0,0.001408700001775287,0.001602799995453097,5.470283199996629
E7-210129-G4-L2000,210129,4,0.2,False,E7_FULL_STAGE_INSTRUMENTATION,0.0017788000041036867,5.106310299997858,13.894435900001554,1.0084964999987278,2953.402300099995,0.0627463999990141,0.0019155999980284832,2975.425052700004
E7-210310-G0-L0025,210310,0,0.0025,False,E7_FULL_STAGE_INSTRUMENTATION,0.002839000000676606,5.2833548999988125,0.22796450000896584,0.003304799996840302,0.01116800000454532,0.04852760000358103,0.001916299996082671,5.757256200005941
E7-210310-G0-L0500,210310,0,0.05,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0014475000061793253,5.1634195000006,0.0,0.0,0.0,0.0013829000017722137,0.0022836999996798113,5.279600200003188
E7-210310-G0-L2000,210310,0,0.2,False,E7_FULL_STAGE_INSTRUMENTATION,0.0017728000020724721,4.9920404000004055,0.06880329999694368,0.0037331999992602505,0.018051200000627432,0.0821111999975983,0.004745799997181166,5.314403200005472
E7-210310-G2-L0025,210310,2,0.0025,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.002641400002175942,5.262973100005183,0.0,0.0,0.0,0.0024319000003742985,0.0031197999996948056,5.395665199997893
E7-210310-G2-L0500,210310,2,0.05,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.002791400002024602,4.970359300001292,0.0,0.0,0.0,0.0024723999958951026,0.003722000001289416,5.0925829999978305
E7-210310-G2-L2000,210310,2,0.2,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.003103699993516784,5.016954500002612,0.0,0.0,0.0,0.001526499996543862,0.003067199999350123,5.142567999995663
E7-210310-G4-L0025,210310,4,0.0025,False,E7_FULL_STAGE_INSTRUMENTATION,0.0022920000046724454,5.1552604000025894,14.752547499992943,1.0440651000026264,3116.821746099995,0.059661100000084843,0.003921099996659905,3139.790897400002
E7-210310-G4-L0500,210310,4,0.05,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0014192000016919337,5.448324400000274,0.0,0.0,0.0,0.001578999996127095,0.002329399998416193,5.545898299998953
E7-210310-G4-L2000,210310,4,0.2,False,E7_FULL_STAGE_INSTRUMENTATION,0.0026299000019207597,5.253540300000168,13.483725299993239,1.0595728000043891,3134.0715679999994,0.058419200002390426,0.003932600004191045,3155.980888900005
E7-210330-G0-L0025,210330,0,0.0025,False,E7_FULL_STAGE_INSTRUMENTATION,0.0008165999970515259,5.035315100001753,0.11912950000987621,0.002467699996486772,0.00901029999658931,0.05546469999535475,0.001653999999689404,5.3630428000033135
E7-210330-G0-L0500,210330,0,0.05,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0014760999983991496,5.266615300002741,0.0,0.0,0.0,0.0016105000031529926,0.0024574000053689815,5.369293199997628
E7-210330-G0-L2000,210330,0,0.2,False,E7_FULL_STAGE_INSTRUMENTATION,0.0010719000056269579,5.2587902000013855,0.061859500005084556,0.004606199996487703,0.009594600000127684,0.06889499999670079,0.003928699996322393,5.559254200001305
E7-210330-G2-L0025,210330,2,0.0025,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0008152000009431504,5.335863300002529,0.0,0.0,0.0,0.0015477999986615032,0.0021330000017769635,5.428853800003708
E7-210330-G2-L0500,210330,2,0.05,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0009062999961315654,5.215788900000916,0.0,0.0,0.0,0.0015514000042458065,0.002560000000812579,5.30608249999932
