case,gamma,beta,lambda_r,status,certified,objective,exact_objective,objective_difference,first_stage_expenditure,first_stage_difference,robust_recourse,robust_recourse_difference,y_identical,maximum_x_difference,fr_min_robust,fr_min_difference,worst_scenario,worst_region,average_fill_rate,iterations,master_solve_count,product_subproblem_evaluations,product_pattern_evaluations,unique_product_cuts,cuts_by_product,cuts_by_gamma,final_lb,final_ub,final_gap,total_runtime_seconds,master_runtime_seconds,separation_runtime_seconds,certification_runtime_seconds,global_coupling_error,exact_certification
210202,1,1.1,0.0,OPTIMAL,False,112802.97664732442,112802.97664731962,4.802132025361061e-09,85096.58742739403,7.130438461899757e-10,27706.38921993039,5.515175871551037e-09,True,38.53972765415176,0.7672918223279283,6.610267888618182e-13,1:BAC-O-6433,12,0.98060765186066,51,51,832,5408,453,"[66, 60, 44, 45, 39, 60, 73, 66]","[301, 152]",112802.97664731892,112802.97664732442,4.8763109979980654e-14,4.661411300068721,3.375251500401646,1.1314802002161741,0.01930069993250072,5.52245182916522e-09,True
210202,1,1.1,0.0025,OPTIMAL,True,112814.0083339184,112814.0083339184,0.0,85106.8852310673,1.4551915228366852e-11,27707.123102851114,3.637978807091713e-12,True,7.938183443911839e-11,0.7672763332886632,2.4868995751603507e-14,1:BAC-O-6433,12,0.9806063611073886,30,30,496,3224,268,"[44, 53, 29, 29, 31, 28, 24, 30]","[181, 87]",112814.00833391842,112814.0083339184,0.0,2.099077499937266,1.2887689997442067,0.6748975999653339,0.01931809983216226,3.637978807091713e-12,True
210202,1,1.1,0.05,OPTIMAL,True,112851.54071765914,112851.54071765917,2.9103830456733704e-11,85142.23665691205,2.9103830456733704e-11,27709.30406074709,1.0913936421275139e-11,True,2.688693712116219e-11,0.7637573004520104,3.2163161023390785e-13,1:BAC-O-6433,12,0.9803131083710008,13,13,224,1456,120,"[19, 22, 14, 16, 14, 14, 11, 10]","[72, 48]",112851.5407176592,112851.54071765914,0.0,0.6881962998304516,0.27880579978227615,0.29532109992578626,0.01813029986806214,1.8189894035458565e-11,True
210202,1,1.1,0.2,OPTIMAL,True,112914.90511611666,112914.90511611661,4.3655745685100555e-11,85197.49198498928,1.0186340659856796e-10,27717.41313112738,1.3460521586239338e-10,True,9.460876526645734e-12,0.7637573004522292,8.382183835919932e-14,1:BAC-O-6433,12,0.980313108371019,9,9,160,1040,82,"[12, 15, 7, 10, 11, 7, 10, 10]","[47, 35]",112914.90511611663,112914.90511611666,2.577501210031096e-16,0.4590990000870079,0.16062639956362545,0.19742899993434548,0.018705700058490038,7.275957614183426e-12,True
210202,2,0.9,0.0,OPTIMAL,True,139819.30062996998,139819.3006299691,8.731149137020111e-10,76152.87461821845,7.275957614183426e-11,63666.42601175154,9.89530235528946e-10,True,1.0023768481914885e-09,0.5261081929753836,4.7628567756419216e-14,1:BAC-O-6433;7:BAC-O-6433,12,0.92840887804207,50,50,1224,32232,508,"[3, 72, 60, 67, 52, 82, 98, 74]","[262, 192, 54]",139819.30062996905,139819.30062996998,6.660901395009921e-15,9.881318599916995,3.4845590996555984,5.685040699085221,0.0976303000934422,9.604264050722122e-10,True
210202,2,0.9,0.0025,OPTIMAL,True,140275.30457179062,140275.30457178998,6.402842700481415e-10,76152.87461821856,8.731149137020111e-11,64122.42995357206,7.566995918750763e-10,True,9.708855941426009e-11,0.5251665628329083,1.5393242236427795e-12,1:BAC-O-6433;7:BAC-O-6433,12,0.9283304088635234,27,27,672,17696,284,"[3, 48, 34, 37, 36, 33, 45, 48]","[145, 104, 35]",140275.30457179065,140275.30457179062,0.0,5.104717099806294,1.3856165008619428,3.071951800957322,0.10112809995189309,6.548361852765083e-11,True
210202,2,0.9,0.05,OPTIMAL,True,145822.5615776807,145822.56157767976,9.313225746154785e-10,76152.87461821856,1.4551915228366852e-11,69669.68695946215,9.313225746154785e-10,True,3.1534219679940634e-11,0.4386292670886479,2.1749269052406817e-13,1:BAC-O-6433;7:BAC-O-6433,12,0.921118967551524,14,14,360,9480,86,"[3, 24, 10, 11, 13, 8, 8, 9]","[44, 30, 12]",145822.5615776807,145822.5615776807,0.0,2.5753793998155743,0.4468576000072062,1.4837358999066055,0.11652919999323785,0.0,True
210202,2,0.9,0.2,OPTIMAL,True,161452.27997044608,161452.27997044584,2.3283064365386963e-10,76152.87461821857,2.9103830456733704e-11,85299.40535222752,2.473825588822365e-10,True,4.43107772696294e-11,0.2365494903458868,7.438494264988549e-14,1:BAC-O-6433;5:BAC-O-4325,12,0.8911843391500929,8,8,216,5688,60,"[3, 9, 8, 5, 13, 7, 8, 7]","[29, 20, 11]",161452.27997044605,161452.27997044608,1.802627405575268e-16,1.7328835001681,0.20322709996253252,0.8913205005228519,0.09564660000614822,4.3655745685100555e-11,True
210202,2,1.0,0.0,OPTIMAL,True,116815.11494450648,116815.11494450644,4.3655745685100555e-11,84614.30513135396,1.4551915228366852e-11,32200.809813152522,1.0913936421275139e-11,True,3.575308937797672e-10,0.7131399065848848,2.020605904817785e-14,1:BAC-O-6433;12:BAC---1041,12,0.9760949922154043,47,47,1152,30336,511,"[51, 66, 80, 45, 44, 59, 95, 71]","[257, 202, 52]",116815.11494450645,116815.11494450648,2.491443891534037e-16,8.521341500105336,2.3926456994377077,5.410648898920044,0.101748300017789,3.637978807091713e-11,True
210202,2,1.0,0.0025,OPTIMAL,True,116824.6804486602,116824.68044866312,2.9103830456733704e-09,84614.30513135393,1.4551915228366852e-11,32210.375317306272,2.903107088059187e-09,True,3.989848422906104e-10,0.712986076892424,4.2876813211023546e-13,1:BAC-O-6433;12:BAC---1041,12,0.9760821730743648,25,25,624,16432,260,"[34, 49, 35, 28, 35, 28, 28, 23]","[142, 94, 24]",116824.68044866316,116824.6804486602,0.0,4.57587519986555,0.956370000494644,2.957381100161001,0.10395710007287562,2.939486876130104e-09,True
