case,product,state_index,local_gamma,v2_value,v3_value,absolute_value_difference,v2_pattern,v3_pattern,same_pattern,maximum_demand_dual_difference,maximum_supply_dual_difference,service_dual_difference,cut_alpha_difference,maximum_cut_beta_difference,v3_dual_feasible,v3_cut_tightness_error,v3_strong_duality_error,v2_solve_seconds,v3_solve_seconds,v2_build_seconds,v3_build_seconds
L,E1C_P009_FROM_BAC---1041,1,2,16689.62204761905,16689.62204761905,0.0,"[18, 22]","[18, 22]",True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.19467150000855327,0.045243099972140044,2.2919372000033036,0.9026263999985531
L,E1C_P009_FROM_BAC---1041,2,0,14845.746619047623,14845.74661904762,1.8189894035458565e-12,[],[],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.1884110000100918,0.0641079000197351,2.2919372000033036,0.9026263999985531
L,E1C_P009_FROM_BAC---1041,2,1,15893.472333333337,15893.472333333335,1.8189894035458565e-12,[18],[18],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.1884110000100918,0.0641079000197351,2.2919372000033036,0.9026263999985531
L,E1C_P009_FROM_BAC---1041,2,2,16689.62204761905,16689.62204761905,0.0,"[18, 22]","[18, 22]",True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.1884110000100918,0.0641079000197351,2.2919372000033036,0.9026263999985531
L,E1C_P009_FROM_BAC---1041,3,0,719.0647471669329,719.064747166933,1.1368683772161603e-13,[],[],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,1.062748600030318,0.9007950000232086,2.2919372000033036,0.9026263999985531
L,E1C_P009_FROM_BAC---1041,3,1,827.4148791389264,827.4148791389265,1.1368683772161603e-13,[18],[18],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,1.062748600030318,0.9007950000232086,2.2919372000033036,0.9026263999985531
L,E1C_P009_FROM_BAC---1041,3,2,912.5132368581953,912.5132368581955,1.1368683772161603e-13,"[16, 18]","[16, 18]",True,0.0,0.0,0.0,0.0,0.0,True,1.1368683772161603e-13,1.1368683772161603e-13,1.062748600030318,0.9007950000232086,2.2919372000033036,0.9026263999985531
L,E1C_P010_FROM_SLI---0770,0,0,539304.5297321428,539304.5297321429,1.1641532182693481e-10,[],[],True,0.0,0.0,0.0,0.0,0.0,True,1.1641532182693481e-10,1.1641532182693481e-10,0.3001817999756895,1.0625666999840178,2.218682600010652,0.9522761999978684
L,E1C_P010_FROM_SLI---0770,0,1,559195.5567321428,559195.5567321429,1.1641532182693481e-10,[12],[12],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.3001817999756895,1.0625666999840178,2.218682600010652,0.9522761999978684
L,E1C_P010_FROM_SLI---0770,0,2,575877.6953035714,575877.6953035714,0.0,"[12, 13]","[12, 13]",True,0.0,0.0,0.0,0.0,0.0,True,1.1641532182693481e-10,1.1641532182693481e-10,0.3001817999756895,1.0625666999840178,2.218682600010652,0.9522761999978684
L,E1C_P010_FROM_SLI---0770,1,0,539304.5297321428,539304.5297321429,1.1641532182693481e-10,[],[],True,0.0,0.0,0.0,0.0,0.0,True,1.1641532182693481e-10,1.1641532182693481e-10,0.21591590001480654,0.05340780003461987,2.218682600010652,0.9522761999978684
L,E1C_P010_FROM_SLI---0770,1,1,559195.5567321428,559195.5567321429,1.1641532182693481e-10,[12],[12],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.21591590001480654,0.05340780003461987,2.218682600010652,0.9522761999978684
L,E1C_P010_FROM_SLI---0770,1,2,575877.6953035714,575877.6953035714,0.0,"[12, 13]","[12, 13]",True,0.0,0.0,0.0,0.0,0.0,True,1.1641532182693481e-10,1.1641532182693481e-10,0.21591590001480654,0.05340780003461987,2.218682600010652,0.9522761999978684
L,E1C_P010_FROM_SLI---0770,2,0,539304.5297321428,539304.5297321429,1.1641532182693481e-10,[],[],True,0.0,0.0,0.0,0.0,0.0,True,1.1641532182693481e-10,1.1641532182693481e-10,0.20734950003679842,0.04873989999759942,2.218682600010652,0.9522761999978684
L,E1C_P010_FROM_SLI---0770,2,1,559195.5567321428,559195.5567321429,1.1641532182693481e-10,[12],[12],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.20734950003679842,0.04873989999759942,2.218682600010652,0.9522761999978684
L,E1C_P010_FROM_SLI---0770,2,2,575877.6953035714,575877.6953035714,0.0,"[12, 13]","[12, 13]",True,0.0,0.0,0.0,0.0,0.0,True,1.1641532182693481e-10,1.1641532182693481e-10,0.20734950003679842,0.04873989999759942,2.218682600010652,0.9522761999978684
L,E1C_P010_FROM_SLI---0770,3,0,1284.630596470837,1284.6305964708367,2.2737367544323206e-13,[],[],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,1.048791799985338,1.1005072999978438,2.218682600010652,0.9522761999978684
L,E1C_P010_FROM_SLI---0770,3,1,1341.6745216081995,1341.6745216081995,0.0,[18],[18],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,1.048791799985338,1.1005072999978438,2.218682600010652,0.9522761999978684
L,E1C_P010_FROM_SLI---0770,3,2,1387.782950487013,1387.782950487013,0.0,"[1, 18]","[1, 18]",True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,1.048791799985338,1.1005072999978438,2.218682600010652,0.9522761999978684
L,E1C_P011_FROM_SLI---1200,0,0,461451.6412946429,461451.6412946429,0.0,[],[],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.2717322000535205,0.6494454000494443,1.9602329999906942,0.8366002000402659
L,E1C_P011_FROM_SLI---1200,0,1,512043.2906279762,512043.2906279762,0.0,[12],[12],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.2717322000535205,0.6494454000494443,1.9602329999906942,0.8366002000402659
L,E1C_P011_FROM_SLI---1200,0,2,531384.2616279761,531384.2616279762,1.1641532182693481e-10,"[8, 12]","[8, 12]",True,0.0,0.0,0.0,0.0,0.0,True,1.1641532182693481e-10,1.1641532182693481e-10,0.2717322000535205,0.6494454000494443,1.9602329999906942,0.8366002000402659
L,E1C_P011_FROM_SLI---1200,1,0,461451.6412946429,461451.6412946429,0.0,[],[],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.192118400009349,0.07781340001383796,1.9602329999906942,0.8366002000402659
L,E1C_P011_FROM_SLI---1200,1,1,512043.2906279762,512043.2906279762,0.0,[12],[12],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.192118400009349,0.07781340001383796,1.9602329999906942,0.8366002000402659
L,E1C_P011_FROM_SLI---1200,1,2,531384.2616279761,531384.2616279762,1.1641532182693481e-10,"[8, 12]","[8, 12]",True,0.0,0.0,0.0,0.0,0.0,True,1.1641532182693481e-10,1.1641532182693481e-10,0.192118400009349,0.07781340001383796,1.9602329999906942,0.8366002000402659
L,E1C_P011_FROM_SLI---1200,2,0,461451.6412946429,461451.6412946429,0.0,[],[],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.1757709999801591,0.06775789998937398,1.9602329999906942,0.8366002000402659
L,E1C_P011_FROM_SLI---1200,2,1,512043.2906279762,512043.2906279762,0.0,[12],[12],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.1757709999801591,0.06775789998937398,1.9602329999906942,0.8366002000402659
L,E1C_P011_FROM_SLI---1200,2,2,531384.2616279761,531384.2616279762,1.1641532182693481e-10,"[8, 12]","[8, 12]",True,0.0,0.0,0.0,0.0,0.0,True,1.1641532182693481e-10,1.1641532182693481e-10,0.1757709999801591,0.06775789998937398,1.9602329999906942,0.8366002000402659
L,E1C_P011_FROM_SLI---1200,3,0,967.0939491406031,967.093949140603,1.1368683772161603e-13,[],[],True,0.0,0.0,0.0,0.0,0.0,True,1.1368683772161603e-13,1.1368683772161603e-13,0.4961133999750018,0.7331948000355624,1.9602329999906942,0.8366002000402659
L,E1C_P011_FROM_SLI---1200,3,1,1030.4138883670264,1030.4138883670262,2.2737367544323206e-13,[12],[12],True,0.0,0.0,0.0,0.0,0.0,True,2.2737367544323206e-13,2.2737367544323206e-13,0.4961133999750018,0.7331948000355624,1.9602329999906942,0.8366002000402659
L,E1C_P011_FROM_SLI---1200,3,2,1071.9747588235618,1071.9747588235614,4.547473508864641e-13,"[10, 12]","[10, 12]",True,0.0,0.0,0.0,0.0,0.0,True,2.2737367544323206e-13,2.2737367544323206e-13,0.4961133999750018,0.7331948000355624,1.9602329999906942,0.8366002000402659
XL_low,E1C_P000_FROM_BAC-O-6433,0,0,84008.66126190477,84008.66126190475,1.4551915228366852e-11,[],[],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.5616898000007495,3.560289300046861,4.9787898999638855,1.8918071999796666
XL_low,E1C_P000_FROM_BAC-O-6433,0,1,87835.10633333333,87835.10633333333,0.0,[28],[28],True,0.0,0.0,0.0,0.0,0.0,True,1.4551915228366852e-11,1.4551915228366852e-11,0.5616898000007495,3.560289300046861,4.9787898999638855,1.8918071999796666
XL_low,E1C_P000_FROM_BAC-O-6433,0,2,90513.65976190477,90513.65976190477,0.0,"[13, 28]","[13, 28]",True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.5616898000007495,3.560289300046861,4.9787898999638855,1.8918071999796666
XL_low,E1C_P000_FROM_BAC-O-6433,1,0,84008.66126190477,84008.66126190475,1.4551915228366852e-11,[],[],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.46212280000327155,0.11497090000193566,4.9787898999638855,1.8918071999796666
XL_low,E1C_P000_FROM_BAC-O-6433,1,1,87835.10633333333,87835.10633333333,0.0,[28],[28],True,0.0,0.0,0.0,0.0,0.0,True,1.4551915228366852e-11,1.4551915228366852e-11,0.46212280000327155,0.11497090000193566,4.9787898999638855,1.8918071999796666
XL_low,E1C_P000_FROM_BAC-O-6433,1,2,90513.65976190477,90513.65976190477,0.0,"[13, 28]","[13, 28]",True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.46212280000327155,0.11497090000193566,4.9787898999638855,1.8918071999796666
XL_low,E1C_P000_FROM_BAC-O-6433,2,0,84008.66126190477,84008.66126190475,1.4551915228366852e-11,[],[],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.42700619995594025,0.15378550003515556,4.9787898999638855,1.8918071999796666
XL_low,E1C_P000_FROM_BAC-O-6433,2,1,87835.10633333333,87835.10633333333,0.0,[28],[28],True,0.0,0.0,0.0,0.0,0.0,True,1.4551915228366852e-11,1.4551915228366852e-11,0.42700619995594025,0.15378550003515556,4.9787898999638855,1.8918071999796666
XL_low,E1C_P000_FROM_BAC-O-6433,2,2,90513.65976190477,90513.65976190477,0.0,"[13, 28]","[13, 28]",True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.42700619995594025,0.15378550003515556,4.9787898999638855,1.8918071999796666
XL_low,E1C_P000_FROM_BAC-O-6433,3,0,5423.238695770461,5423.23869577046,9.094947017729282e-13,[],[],True,0.0,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,True,9.094947017729282e-13,9.094947017729282e-13,5.108732099994086,3.114318000036292,4.9787898999638855,1.8918071999796666
XL_low,E1C_P000_FROM_BAC-O-6433,3,1,5898.243403768171,5898.24340376817,1.8189894035458565e-12,[28],[28],True,0.0,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,True,9.094947017729282e-13,9.094947017729282e-13,5.108732099994086,3.114318000036292,4.9787898999638855,1.8918071999796666
XL_low,E1C_P000_FROM_BAC-O-6433,3,2,6191.078415971681,6191.078415971681,0.0,"[16, 28]","[16, 28]",True,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,True,9.094947017729282e-13,9.094947017729282e-13,5.108732099994086,3.114318000036292,4.9787898999638855,1.8918071999796666
XL_low,E1C_P001_FROM_SLI---1200,0,0,602631.5899136905,602631.5899136905,0.0,[],[],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.5609398999949917,2.800526900042314,4.268725199974142,2.237235900014639
XL_low,E1C_P001_FROM_SLI---1200,0,1,653223.2392470238,653223.2392470237,1.1641532182693481e-10,[12],[12],True,0.0,0.0,0.0,0.0,0.0,True,1.1641532182693481e-10,1.1641532182693481e-10,0.5609398999949917,2.800526900042314,4.268725199974142,2.237235900014639
XL_low,E1C_P001_FROM_SLI---1200,0,2,672564.2102470237,672564.2102470237,0.0,"[8, 12]","[8, 12]",True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.5609398999949917,2.800526900042314,4.268725199974142,2.237235900014639
XL_low,E1C_P001_FROM_SLI---1200,1,0,602631.5899136905,602631.5899136905,0.0,[],[],True,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.39828989998204634,0.14159469999140128,4.268725199974142,2.237235900014639
