run_id,case,lambda_token,lambda_R,objective,normalized_objective_vs_L0500,normalized_objective_vs_L0000,objective_change_vs_L0000_pct,objective_change_vs_L0500_pct,fixed_cost,inventory_cost,reconfiguration_cost,robust_recourse_cost,normalized_robust_recourse_vs_L0500,normalized_robust_recourse_vs_L0000,recourse_change_vs_L0000_pct,B,budget_used,budget_utilization,budget_slack,canonical_total_adjustment,total_adjustment,canonical_RI,RI,RI_change_vs_L0000,RS,material_reconfiguration,changed_pair_count,largest_adjusted_pair_share,top3_adjusted_pair_share,active_depots,active_depot_ids,opened_depots,closed_depots,shortage_cost,transportation_cost,service_penalty,total_shortage,minimum_fill_rate,average_fill_rate,runtime_seconds,iterations,master_solves,subproblem_evaluations,cuts,lower_bound,upper_bound,relative_gap,status,certification_status,exact_certification_pass,global_coupling_diagnostic_status,global_coupling_diagnostic_source_status,reused_L0500
E5-210330-L0000,210330,L0000,0.0,657501.8174192903,0.9997601618717425,1.0,0.0,-0.023983812825745243,1612.776,64037.57142795814,0.0,591851.4699913322,0.9997335652303424,1.0,0.0,65650.34742795816,65650.34742795814,0.9999999999999998,1.4551915228366852e-11,30.31118359248019,30.31118359248019,0.06057390805946176,0.06057390805946176,0.0,0.0,True,4,0.7272726784021215,0.9999999511293929,2,90016100|9624708,,,223593.8487060382,1605.9491180006464,366651.6721675068,3126.4635250199817,3.7192471324942744e-14,0.12823897642622029,1.3140583999920636,8,8,216,42,657501.8174192903,657501.8174192903,0.0,OPTIMAL,CERTIFIED_PRB_EXACT,True,PASS,PASS,False
E5-210330-L0025,210330,L0025,0.0025,657509.3045290136,0.999771546348303,1.000011387207647,0.0011387207647040043,-0.02284536516969915,1612.776,64030.94150400081,6.629923957343534,591858.9571010554,0.9997462121785659,1.0000126503187081,0.001265031870811839,65650.34742795816,65650.34742795816,1.0,0.0,30.42168232510233,30.42168232510233,0.060794728868062614,0.060794728868062614,0.00022082080860085646,0.00010098840626272275,True,4,0.7282632884238199,0.9999999513069083,2,90016100|9624708,,,224316.9426704842,1215.1554189556825,366326.8590118227,3166.9597380375903,3.647082635893639e-13,0.128207223916844,1.0602489998564124,6,6,168,35,657509.3045290136,657509.3045290136,0.0,OPTIMAL,CERTIFIED_PRB_EXACT,True,PASS,PASS,False
E5-210330-L0100,210330,L0100,0.01,657531.9927408132,0.9998060447629088,1.0000458938982728,0.004589389827280854,-0.019395523709120344,1612.776,64010.85082534219,26.720602615960697,591881.645312855,0.9997845362649644,1.0000509846186971,0.005098461869712523,65650.34742795816,65650.34742795814,0.9999999999999998,1.4551915228366852e-11,30.75652696941308,30.75652696941308,0.06146388283352223,0.06146388283352223,0.0008899747740604702,0.000407013879786131,True,2,0.7312217194570131,1.0,2,90016100|9624708,,,223606.31832058792,1600.5860380516178,366674.74095440586,3126.9088683966975,1.7763568394002505e-14,0.128111004191537,0.9942078997846693,5,5,144,33,657531.9927423681,657531.9927408132,0.0,OPTIMAL,CERTIFIED_PRB_EXACT,True,DIAGNOSTIC_TOLERANCE_CONTRACT_MISMATCH,DIAGNOSTIC_TOLERANCE_CONTRACT_MISMATCH,False
E5-210330-L0500,210330,L0500,0.05,657659.5492546142,1.0,1.0002398956643845,0.023989566438453735,0.0,1612.776,63898.34302485392,139.2284031042169,592009.201826656,1.0,1.0002665057760627,0.026650577606268655,65650.34742795816,65650.34742795814,0.9999999999999998,1.4551915228366852e-11,32.63165697755088,32.63165697755088,0.06521114504009128,0.06521114504009128,0.004637236980629518,0.002120756531517219,True,2,0.7466666666666678,1.0,2,90016100|9624708,,,223658.82196075816,1578.507177130843,366771.872688767,3128.7839984029306,4.440892098500626e-15,0.12751158681648178,0.9831330000888556,5,5,144,33,657659.549256254,657659.5492546142,0.0,OPTIMAL,CERTIFIED_PRB_EXACT,True,MISSING_BY_REUSE_SCHEMA_SOURCE_REFERENCED,DIAGNOSTIC_TOLERANCE_CONTRACT_MISMATCH,True
E5-210330-L2000,210330,L2000,0.2,658258.1260247654,1.000910162060035,1.0011502760683517,0.11502760683517188,0.09101620600349136,1612.776,63410.85714237186,626.714285586282,592607.7785968073,1.001011093692977,1.0012778689313488,0.12778689313488467,65650.34742795816,65650.34742795814,0.9999999999999998,1.4551915228366852e-11,39.169642849143045,39.169642849143045,0.07827666436801795,0.07827666436801795,0.017702756308556188,0.009546244767006162,True,4,0.7999999621817854,0.9999999621817859,2,90016100|9624708,,,224617.27857176584,1108.01959594093,366882.4804292806,3176.573214289087,4.440892098500626e-16,0.12446283171843035,1.2073697000741959,7,7,192,39,658258.1260247654,658258.1260247654,0.0,OPTIMAL,CERTIFIED_PRB_EXACT,True,PASS,PASS,False
E5-210323-L0000,210323,L0000,0.0,627045.0920246697,0.9998371404622077,1.0,0.0,-0.016285953779227036,1581.0600000000002,66695.14285663515,0.0,558768.8891680345,0.9998172442243985,1.0,0.0,68276.20285663515,68276.20285663515,1.0,0.0,41.438849308835415,41.438849308835415,0.0782002089763651,0.0782002089763651,0.0,0.0,True,4,0.4041620878918388,0.9353778719402185,2,90016100|9624708,,,211405.1193349908,1816.5522384009403,345547.2175948509,3058.8866979226173,2.6645352591003757e-15,0.1379055323612405,1.6523422999307513,9,9,240,47,627045.0920246695,627045.0920246697,3.7131403564946393e-16,OPTIMAL,CERTIFIED_PRB_EXACT,True,PASS,PASS,False
E5-210323-L0025,210323,L0025,0.0025,627050.3109190209,0.9998454621036189,1.0000083229968906,0.0008322996890575141,-0.015453789638109061,1581.0600000000002,66690.89804598698,4.244810649413182,558774.1080623845,0.9998265825048005,1.0000093399873384,0.0009339987338430333,68276.20285663515,68276.20285663639,1.0000000000000182,-1.2369127944111824e-09,19.477490542920858,19.477490542920858,0.03675642196142806,0.03675642196142806,-0.041443787014937034,6.21711587905136e-05,True,2,0.7282633369207543,1.0,2,90016100|9624708,,,211406.683669947,1814.2706721812192,345553.1537204494,3058.9848511259997,5.002664948960955e-13,0.13787308144619984,1.4392743001226336,7,7,192,41,627050.3109199037,627050.3109190209,0.0,OPTIMAL,CERTIFIED_PRB_EXACT,True,PASS,PASS,False
E5-210323-L0100,210323,L0100,0.01,627064.9954665219,0.9998688769364102,1.000031741643632,0.0031741643631955085,-0.013112306358975534,1581.0600000000002,66678.03498341682,17.107873223354414,558788.7926098817,0.9998528578828609,1.0000356201682539,0.0035620168253869267,68276.20285663515,68276.20285664017,1.0000000000000735,-5.020410753786564e-09,19.691874919090335,19.691874919090335,0.037160991665880404,0.037160991665880404,-0.04103921731048469,0.0002505686096702997,True,2,0.7312217192604746,1.0,2,90016100|9624708,,,211412.6864324909,1811.8473464455033,345564.25883114553,3059.19923550253,2.1094237467877974e-15,0.13780901507684776,1.29769519995898,6,6,168,37,627064.9954665219,627064.9954665219,0.0,OPTIMAL,CERTIFIED_PRB_EXACT,True,PASS,PASS,False
E5-210323-L0500,210323,L0500,0.05,627147.2289325014,1.0,1.0001628860653415,0.01628860653415387,0.0,1581.0600000000002,66606.00183302385,89.14102361131269,558871.0260758662,1.0,1.00018278918138,0.01827891813799276,68276.20285663515,68276.20285663517,1.0000000000000002,-1.4551915228366852e-11,20.892427425639706,20.892427425639706,0.039426582010814094,0.039426582010814094,-0.038773626965551,0.0013055943342146462,True,2,0.7466666664690438,1.0,2,90016100|9624708,,,211446.30190274774,1798.2767220546957,345626.4474510638,3060.3997880112797,1.6997514507011147e-13,0.1374502434084508,1.014445299981162,4,4,120,31,627147.2289325013,627147.2289325014,1.8562678180862116e-16,OPTIMAL,CERTIFIED_PRB_EXACT,True,MISSING_BY_REUSE_SCHEMA_SOURCE_REFERENCED,PASS,True
E5-210323-L2000,210323,L2000,0.2,627528.843610591,1.000608492967017,1.0007714781473838,0.0771478147383764,0.0608492967016927,1581.0600000000002,66271.72299447727,423.4198621578798,559252.6407539558,1.0006828313873581,1.0008657453829284,0.08657453829283845,68276.20285663515,68276.20285663515,1.0,0.0,26.463741384867504,26.463741384867504,0.04994033717417623,0.04994033717417623,-0.028259871802188863,0.006201573087580271,True,2,0.8000000000000006,1.0,2,90016100|9624708,,,211602.29869400288,1735.300545232395,345915.0415149508,3065.9711019851225,1.9984014443252818e-15,0.13578531863822974,1.3780436001252383,5,5,144,34,627528.8436105908,627528.8436105909,1.855138979064612e-16,OPTIMAL,CERTIFIED_PRB_EXACT,True,PASS,PASS,False
E5-210428-L0000,210428,L0000,0.0,793717.3880815352,0.9999999999998241,1.0,0.0,-1.758593271006248e-11,1222.776,74689.19999934557,0.0,717805.4120821897,0.9999999999998055,1.0,0.0,75911.97599934557,75911.97599934557,1.0,0.0,2.367437178740772e-06,2.367437178740772e-06,4.005002670841849e-09,4.005002670841849e-09,0.0,0.0,False,0,0.3825926277931674,0.8827813271027442,2,90016100|9624708,,,271606.8666666667,2259.4844149913897,443939.06100000005,3848.2800000000007,1.4099832412739488e-14,0.13302141299986528,1.9960256998892874,8,8,216,41,793717.3880815352,793717.3880815352,0.0,OPTIMAL,CERTIFIED_PRB_EXACT,True,PASS,PASS,False
E5-210428-L0025,210428,L0025,0.0025,793717.388081639,0.9999999999999548,1.0000000000001308,1.3078427230084344e-11,-4.518607710224387e-12,1222.776,74689.19999934213,3.4437311310578903e-09,717805.4120822934,0.99999999999995,1.0000000000001446,1.4455103780619538e-11,75911.97599934557,75911.97599934558,1.0000000000000002,-1.4551915228366852e-11,2.3494175493965486e-08,2.3494175493965486e-08,3.974518793888635e-11,3.974518793888635e-11,-3.965257482902962e-09,4.5364793706431495e-14,False,0,0.5177926583494915,1.0,2,90016100|9624708,,,271606.86666666577,2259.484412251034,443939.0610000001,3848.279999999988,8.892886427247504e-14,0.13302141299983125,2.0594585000071675,7,7,192,40,793717.3880816388,793717.388081639,1.4667099848763896e-16,OPTIMAL,CERTIFIED_PRB_EXACT,True,PASS,PASS,False
E5-210428-L0100,210428,L0100,0.01,793717.3880816498,0.9999999999999685,1.0000000000001443,1.4432899320127035e-11,-3.1530333899354446e-12,1222.776,74689.19999933169,1.3879398920404596e-08,717805.4120823042,0.9999999999999651,1.0000000000001597,1.596500709410975e-11,75911.97599934557,75911.97599934557,1.0,0.0,2.366831530764557e-08,2.366831530764557e-08,4.003978093808036e-11,4.003978093808036e-11,-3.9649628899037685e-09,1.828354319287414e-13,False,0,0.513982994844596,1.0,2,90016100|9624708,,,271606.86666666664,2259.4844149602513,443939.06100000005,3848.28,3.3306690738754696e-16,0.13302141299987227,1.4196216999553144,5,5,144,33,793717.3880816498,793717.3880816498,0.0,OPTIMAL,CERTIFIED_PRB_EXACT,True,PASS,PASS,False
