case,gamma,beta,lambda_r,status,budget,objective,first_stage_expenditure,budget_utilization,robust_recourse_cost,total_inventory,active_depot_count,ri,ri_from_adjustments,reconfiguration_cost,rs,total_a_plus,total_a_minus,positive_changed_pairs,depot_activation_changes,balance_max_error,ri_representation_error,simultaneous_positive_adjustment_pairs,objective_accounting_error
210202,2,1.1,0.01,OPTIMAL,93075.73564448934,116053.6490537162,89316.89687202693,0.9596152665736685,26736.752181689248,6083.433468197797,12,0.3452439857915115,0.34524398579151144,273.21775362990076,0.002935434801971151,1150.6278408050246,843.6633236559462,26,3,2.5579538487363607e-13,4.547473508864641e-13,0,2.1827872842550278e-11
210202,2,1.1,0.025,OPTIMAL,93075.73564448934,116312.22325066598,85166.33977235435,0.9150219354446405,31145.88347831165,5807.34736010741,14,0.0156942543823634,0.01569425438236329,18.292858628604304,0.00019653735210297372,60.76789110413679,29.88948204544505,13,1,3.552713678800501e-13,6.252776074688882e-13,0,1.8189894035458565e-11
210202,2,1.1,0.05,OPTIMAL,93075.73564448934,116330.02776280468,85179.6331095077,0.9151647582443886,31150.394653296968,5807.3484480002535,14,0.011681138950525822,0.011681138950525728,31.541010471891834,0.00033887468364865144,49.177616706066345,18.298119754531335,8,1,3.339550858072471e-13,5.400124791776761e-13,0,3.637978807091713e-12
210202,2,1.1,0.1,OPTIMAL,93075.73564448934,116353.37945090438,85193.4692893778,0.9153134133130194,31159.910161526594,5807.350016184076,14,0.008760156504035386,0.008760156504035282,45.31205628699813,0.0004868299559841393,40.74191859362228,9.860853458265012,7,1,3.481659405224491e-13,6.039613253960852e-13,0,1.0913936421275139e-11
210202,2,1.1,0.2,OPTIMAL,93075.73564448934,116398.6915071914,85238.7813456648,0.9158002432690036,31159.910161526604,5807.350016184077,14,0.008760156504035322,0.008760156504035296,90.62411257399503,0.0009736599119682654,40.741918593622366,9.860853458265012,7,1,4.263256414560601e-14,1.4921397450962104e-13,0,7.275957614183426e-12
210202,2,1.1,0.4,OPTIMAL,93075.73564448934,116489.31561976537,85329.40545823878,0.9167739031809716,31159.910161526604,5807.350016184076,14,0.008760156504035369,0.008760156504035273,181.2482251479904,0.0019473198239365345,40.74191859362223,9.860853458265012,7,1,2.984279490192421e-13,5.542233338928781e-13,0,7.275957614183426e-12
210202,2,1.1,0.8,OPTIMAL,93075.73564448934,116635.77909725059,85428.81416249635,0.9178419442076605,31206.964934754265,5807.385858544119,14,0.0053522156454746265,0.005352215645474541,291.5477860529299,0.0031323715470433816,30.91690749540086,0.0,4,1,2.984279490192421e-13,4.973799150320701e-13,0,2.1827872842550278e-11
210202,2,1.1,1.6,OPTIMAL,93075.73564448934,116891.39989120842,85255.11544021811,0.9159757357799164,31636.284450990337,5796.192392892167,14,0.00341444609338158,0.003414446093381511,296.7900285174451,0.0031886938788328223,19.723441843447894,0.0,3,1,3.126388037344441e-13,3.979039320256561e-13,0,2.9103830456733704e-11
210628,1,0.9,0.0,OPTIMAL,45502.368940917746,92676.53011251896,45502.368940917746,1.0,47174.16117160122,3032.0271285258696,6,0.4306431463759639,0.4306431463759639,0.0,0.0,506.2044385093969,1021.3696176758347,55,7,0.0,0.0,0,7.275957614183426e-12
210628,1,0.9,0.0025,OPTIMAL,45502.368940917746,93019.72709422483,45502.368940917724,0.9999999999999996,47517.3581533071,3032.006000522739,6,0.40357023968185135,0.4035702396817483,41.87673540877538,0.0009203198950619463,458.17747132155176,973.3637784910866,52,7,3.33315597345063e-11,3.653894964372739e-10,0,7.275957614183426e-12
210628,1,0.9,0.005,OPTIMAL,45502.368940917746,93349.74416382561,45502.36894091775,1.0000000000000002,47847.375222907845,3032.0016773235247,6,0.3836993175265698,0.38369931752630315,82.0568845312881,0.001803354120701591,422.93231861369424,938.1229489823963,50,7,8.076739277385059e-11,9.461018635192886e-10,0,1.4551915228366852e-11
210628,1,0.9,0.01,OPTIMAL,45502.368940917746,93903.70806554347,45502.36894091773,0.9999999999999997,48401.33912462573,3110.538491784605,6,0.3833916585058458,0.3833916585058458,127.97335341258976,0.002812454744471786,461.65506298881473,898.3088788965173,47,7,2.842170943040401e-14,0.0,0,7.275957614183426e-12
210628,1,0.9,0.025,OPTIMAL,45502.368940917746,95326.49529475495,45502.36894091776,1.0000000000000002,49824.12635383719,3149.289144136854,7,0.3412869010535953,0.34128690105359527,235.7631786482754,0.00518133855743644,406.3535532890026,804.2567168444562,43,6,1.7053025658242404e-13,2.2737367544323206e-13,0,7.275957614183426e-12
210628,1,0.9,0.05,OPTIMAL,45502.368940917746,97138.4877031089,45502.368940917775,1.0000000000000007,51636.118762191116,3028.5136395212053,8,0.29713482797511676,0.29713482797511676,436.5895962198248,0.009594876187363162,267.65785398485446,786.3365221559566,43,5,1.4210854715202004e-14,0.0,0,7.275957614183426e-12
210628,1,0.9,0.1,OPTIMAL,45502.368940917746,100743.8735954854,45502.36894091773,0.9999999999999997,55241.504654567645,3003.734826096342,8,0.29315388349913424,0.29315388349913424,882.2742080648079,0.019389632421344723,248.20785946114523,791.6653410571105,40,5,8.526512829121202e-14,0.0,0,2.9103830456733704e-11
210628,1,0.9,0.2,OPTIMAL,45502.368940917746,108667.41121164126,45502.36894091735,0.9999999999999913,63165.04227072386,2823.483489692233,9,0.2500316929629876,0.2500316929629829,1593.0065690887666,0.035009310639566825,81.60083997876004,805.3096579788175,30,4,1.1823431123048067e-11,1.6825651982799172e-11,0,4.3655745685100555e-11
210628,1,0.9,0.4,OPTIMAL,45502.368940917746,131025.54892528075,45502.36894091777,1.0000000000000004,85523.17998436296,2533.3431369282384,8,0.30854390189278624,0.3085439018927863,3154.6863752280888,0.06933015683918063,40.30769230769614,1054.1568630717652,30,5,0.0,2.2737367544323206e-13,0,1.4551915228366852e-11
210628,1,0.9,0.8,OPTIMAL,45502.368940917746,290072.41551852226,45502.36894091782,1.0000000000000016,244570.04657760446,1401.2010810924596,5,0.6049830515098187,0.6049830515098187,15707.220820221277,0.34519567191361433,0.0,2145.991226599848,48,8,0.0,0.0,0,2.9103830456733704e-11
210628,1,0.9,1.6,INFEASIBLE,45502.368940917746,,,,,,,,,,,,,,,,,,
210628,1,1.0,0.0,OPTIMAL,50558.18771213083,75146.22285658869,50558.18771213083,1.0,24588.035144457855,3488.948675829258,8,0.3159137379450067,0.3159137379450067,0.0,0.0,531.1815746349009,589.4252064979503,51,5,0.0,0.0,0,7.275957614183426e-12
210628,1,1.0,0.0025,OPTIMAL,50558.18771213083,75219.41812272367,50558.187712130544,0.9999999999999943,24661.230410593103,3486.4761289978273,8,0.2002761829475401,0.20027618294753868,21.71815466446399,0.0004295675072081941,324.85097843550534,385.56715712998107,43,5,4.689582056016661e-12,5.002220859751105e-12,0,2.1827872842550278e-11
210628,1,1.0,0.005,OPTIMAL,50558.18771213083,75283.07836982797,50558.18771213081,0.9999999999999997,24724.890657697135,3484.493936252884,8,0.19594428508702644,0.19594428508702633,42.55766808454447,0.000841756202316035,316.1768446787722,378.875216118196,41,5,2.1316282072803006e-13,3.410605131648481e-13,0,2.1827872842550278e-11
210628,1,1.0,0.01,OPTIMAL,50558.18771213083,75409.69412466229,50558.187712128914,0.9999999999999621,24851.506412533367,3480.413292709979,8,0.19709467198146355,0.19709467198145134,85.54521160424895,0.0016920149925335121,316.1768446787286,382.955859661014,41,5,4.305888978706207e-11,4.331468517193571e-11,0,7.275957614183426e-12
210628,1,1.0,0.025,OPTIMAL,50558.18771213083,75654.33882735619,50558.18771213026,0.9999999999999888,25096.15111522594,3468.671138595349,10,0.13501215176766812,0.13501215176766446,124.29913582380934,0.0024585362222939266,200.19644854915003,278.7176176460956,36,3,1.2818190953112207e-11,1.3017142919125035e-11,0,1.4551915228366852e-11
210628,1,1.0,0.05,OPTIMAL,50558.18771213083,76013.63262569864,50558.187712130864,1.0000000000000007,25455.444913567804,3455.6555550458806,11,0.10157846950069233,0.10157846950069226,164.85651615905627,0.003260728353194134,134.39080649679306,225.92755914322018,23,2,1.2789769243681803e-13,2.2737367544323206e-13,0,3.2741809263825417e-11
210628,1,1.0,0.1,OPTIMAL,50558.18771213083,76600.88889186899,50558.187712130864,1.0000000000000007,26042.70117973815,3440.074065686423,11,0.08190400053282569,0.08190400053282564,299.5521153759451,0.005924898200100459,91.70549932669073,198.82374133257497,19,2,9.947598300641403e-14,1.7053025658242404e-13,0,2.1827872842550278e-11
210628,1,1.0,0.2,OPTIMAL,50558.18771213083,77920.64772827664,50558.18771213081,0.9999999999999997,27362.46001614583,3412.5992524909716,12,0.053421848867101024,0.05342184886710096,583.5583873483296,0.011542312210061908,27.45225808137285,162.04531328270866,14,1,1.2789769243681803e-13,2.2737367544323206e-13,0,0.0
210628,1,1.0,0.4,OPTIMAL,50558.18771213083,80561.11336372407,50558.18771213085,1.0000000000000004,30002.9256515932,3403.5453924140384,12,0.05071855093665637,0.05071855093665631,1021.4782508905305,0.020204012388787405,18.130769230769246,161.77768450903847,10,1,1.2789769243681803e-13,2.2737367544323206e-13,0,2.1827872842550278e-11
