case,gamma,beta,lambda_r,status,objective,best_bound,mip_gap,runtime_seconds,node_count,scenario_count,variable_count,constraint_count,nonzero_count,peak_memory_gb,method,budget,activation_cost,final_inventory_cost,reconfiguration_cost,first_stage_expenditure,budget_slack,budget_utilization,robust_recourse_cost,total_inventory,active_depot_count,ri,ri_from_adjustments,rs,active_depot_changes,first_stage_accounting_error,objective_accounting_error,reconfiguration_identity_error,simultaneous_positive_adjustment_pairs,direct_robust_recourse_difference,error_message
210202,0,1.1,0.05,OPTIMAL,108999.13573275977,108999.13573275977,0.0,0.0409998893737793,3.0,1,1928,489,5871,,factorized_exact_extensive_form,93075.73564448934,4503.661236324868,80110.64389502905,0.0,84614.30513135393,8461.430513135405,0.909090909090909,24384.83060140585,5776.468951048719,13,1.8327955802313116e-16,0.0,0.0,0,1.4551915228366852e-11,1.8189894035458565e-11,3.979039320256561e-13,0,4.001776687800884e-11,
210202,0,1.1,0.2,OPTIMAL,108999.13573275977,108999.13573275977,0.0,0.020999908447265625,1.0,1,1928,489,5871,,factorized_exact_extensive_form,93075.73564448934,4503.661236324868,80110.64389502905,0.0,84614.30513135393,8461.430513135405,0.909090909090909,24384.83060140585,5776.468951048719,13,1.5621814677139369e-16,0.0,0.0,0,1.4551915228366852e-11,1.8189894035458565e-11,4.263256414560601e-13,0,4.001776687800884e-11,
210202,1,0.9,0.0,OPTIMAL,134054.09596896154,134054.09596896154,0.0,0.7980000972747803,1.0,97,20464,3281,62727,,factorized_exact_extensive_form,76152.87461821854,3750.1156634961735,72402.75895472235,0.0,76152.87461821853,1.4551915228366852e-11,0.9999999999999998,57901.22135074304,5265.843996455597,11,0.6490031179480736,0.6490031179480736,0.0,2,1.4551915228366852e-11,2.9103830456733704e-11,0.0,0,7.275957614183426e-12,
210202,1,0.9,0.0025,OPTIMAL,134468.08354851385,134468.08354851385,0.0,0.6510000228881836,1.0,97,20464,3281,62967,,factorized_exact_extensive_form,76152.87461821854,3750.1156634961735,72342.32681198919,60.43214273327191,76152.87461821864,-1.0186340659856796e-10,1.0000000000000013,58315.20893029522,5262.618527266271,11,0.33523543043617304,0.33523543043614035,0.0007935635133439118,2,1.4551915228366852e-11,1.4551915228366852e-11,1.8883383745560423e-10,0,0.0,
210202,1,0.9,0.05,OPTIMAL,138154.90337415956,138154.90337415956,0.0,0.6519999504089355,1.0,97,20464,3281,62967,,factorized_exact_extensive_form,76152.87461821854,3959.0162107299243,71634.72180319886,559.1366042898103,76152.8746182186,-5.820766091346741e-11,1.0000000000000007,62002.028755940955,5254.217692643409,9,0.20857952567368643,0.20857952567368643,0.007342291503675482,4,0.0,7.275957614183426e-12,1.0658141036401503e-14,0,7.275957614183426e-12,
210202,1,0.9,0.2,OPTIMAL,152430.1389601135,152430.1389601135,0.0,0.6830000877380371,1.0,97,20464,3281,62967,,factorized_exact_extensive_form,76152.87461821854,3959.0162107299243,70029.35611691847,2164.5022905701753,76152.8746182186,-5.820766091346741e-11,1.0000000000000007,76277.26434189492,4990.456158192643,9,0.171645250859905,0.17164525085990498,0.028423119959969937,4,2.9103830456733704e-11,2.9103830456733704e-11,1.7053025658242404e-13,0,2.6193447411060333e-10,
210202,1,1.0,0.0,OPTIMAL,113164.57123020572,113164.57123020572,0.0,0.5759999752044678,1.0,97,20464,3281,62727,,factorized_exact_extensive_form,84614.30513135393,4503.661236324868,80060.76020268611,0.0,84564.42143901098,49.88369234294805,0.9994104579330232,28600.14979119475,5773.492468154314,13,0.08364104546707803,0.08364104546707803,0.0,0,0.0,1.4551915228366852e-11,0.0,0,9.094947017729282e-11,
210202,1,1.0,0.0025,OPTIMAL,113171.0845422307,113171.08454223069,0.0,0.7580001354217529,1.0,97,20464,3281,62967,,factorized_exact_extensive_form,84614.30513135393,4503.661236324868,80061.28864849673,3.108995821481767,84568.05888064308,46.246250710857566,0.9994534464280116,28603.025661587617,5773.460833424404,13,0.04847322864727652,0.048473228647276455,3.67431466423486e-05,0,1.4551915228366852e-11,1.0913936421275139e-11,2.5579538487363607e-13,0,6.184563972055912e-11,
210202,1,1.0,0.05,OPTIMAL,113204.13219122177,113204.13219122177,0.0,0.4980001449584961,1.0,97,20464,3281,62967,,factorized_exact_extensive_form,84614.30513135393,4503.661236324868,80055.82119077106,32.09908473126896,84591.58151182721,22.723619526717812,0.9997314447067616,28612.550679394568,5773.329197542741,13,0.016944931385878048,0.01694493138587791,0.0003793576592213201,0,1.4551915228366852e-11,1.4551915228366852e-11,3.410605131648481e-13,0,5.820766091346741e-11,
210202,1,1.0,0.2,OPTIMAL,113260.49201003119,113260.49201003116,0.0,0.46700000762939453,1.0,97,20464,3281,62967,,factorized_exact_extensive_form,84614.30513135393,4503.661236324868,80076.711270972,33.93262405710669,84614.30513135396,-2.9103830456733704e-11,1.0000000000000004,28646.186878677203,5770.419702903701,13,0.005733877037532663,0.005733877037532625,0.00040102703679277654,0,1.4551915228366852e-11,2.1827872842550278e-11,8.526512829121202e-14,0,2.9103830456733704e-10,
210202,1,1.1,0.0,OPTIMAL,112802.97664731962,112802.97664731962,0.0,0.5290000438690186,1.0,97,20464,3281,62727,,factorized_exact_extensive_form,93075.73564448934,4662.18774884819,80434.39967854657,0.0,85096.58742739474,7979.1482170945965,0.9142725205248806,27706.389219924873,5807.1901717495,14,0.11564014032088636,0.11564014032088638,0.0,1,1.4551915228366852e-11,7.275957614183426e-12,0.0,0,3.637978807091713e-12,
210202,1,1.1,0.0025,OPTIMAL,112814.0083339184,112814.0083339184,0.0,0.6210000514984131,1.0,97,20464,3281,62967,,factorized_exact_extensive_form,93075.73564448934,4662.18774884819,80436.79197144671,7.90551077239681,85106.88523106728,7968.850413422057,0.9143831594964797,27707.123102851117,5807.208337106438,14,0.06507152736418696,0.06507152736418689,8.493632328185489e-05,1,1.4551915228366852e-11,7.275957614183426e-12,3.0686564400639327e-13,0,7.275957614183426e-12,
210202,1,1.1,0.05,OPTIMAL,112851.54071765917,112851.54071765917,0.0,0.4609999656677246,1.0,97,20464,3281,62967,,factorized_exact_extensive_form,93075.73564448934,4662.18774884819,80451.4414939305,28.607414133379926,85142.23665691208,7933.498987577259,0.9147629730493892,27709.3040607471,5807.407591001906,14,0.011293543735753505,0.011293543735753418,0.000307356304361089,1,1.4551915228366852e-11,1.0913936421275139e-11,2.2737367544323206e-13,0,7.275957614183426e-12,
210202,1,1.1,0.2,OPTIMAL,112914.90511611661,112914.90511611661,0.0,0.4240000247955322,1.0,97,20464,3281,62967,,factorized_exact_extensive_form,93075.73564448934,4662.18774884819,80451.56168367976,83.74255246142474,85197.49198498938,7878.24365949996,0.9153566329081558,27717.413131127247,5807.408745449126,14,0.008770323487628191,0.008770323487628143,0.0008997248518269736,1,1.4551915228366852e-11,1.0913936421275139e-11,8.526512829121202e-14,0,7.275957614183426e-12,
210202,2,0.9,0.0,OPTIMAL,139819.3006299691,139819.3006299691,0.0,29.884000062942505,23.0,4657,122376,18629,376683,,factorized_exact_extensive_form,76152.87461821854,3750.1156634961735,72402.75895472238,0.0,76152.87461821853,1.4551915228366852e-11,0.9999999999999998,63666.42601175055,5262.880257579265,11,0.6389523719115525,0.6389523719115525,0.0,2,1.4551915228366852e-11,2.9103830456733704e-11,0.0,0,1.4551915228366852e-11,
210202,2,0.9,0.0025,OPTIMAL,140275.30457178998,140275.3045717899,6.224295262571817e-16,18.80900001525879,21.0,4657,122376,18629,376923,,factorized_exact_extensive_form,76152.87461821854,3750.1156634961735,72337.72764094794,65.0313137745339,76152.87461821864,-1.0186340659856796e-10,1.0000000000000013,64122.4299535713,5261.221912375831,11,0.35675912401481863,0.35675912401476834,0.0008539574389090236,2,0.0,3.637978807091713e-11,2.906972440541722e-10,0,7.275957614183426e-12,
210202,2,0.9,0.05,OPTIMAL,145822.56157767976,145822.56157767976,0.0,12.282999992370605,1.0,4657,122376,18629,376923,,factorized_exact_extensive_form,76152.87461821854,4011.5287027376917,71600.29187208554,541.0540433953294,76152.87461821857,-2.9103830456733704e-11,1.0000000000000004,69669.68695946122,5108.817372100776,10,0.22234793472721856,0.22234793472721853,0.0071048407050663,3,1.4551915228366852e-11,2.9103830456733704e-11,0.0,0,0.0,
210202,2,0.9,0.2,OPTIMAL,161452.27997044584,161452.27997044567,1.0815764433451625e-15,12.86899995803833,1.0,4657,122376,18629,376923,,factorized_exact_extensive_form,76152.87461821854,4011.5287027376917,70002.78398173646,2138.5619337444364,76152.8746182186,-5.820766091346741e-11,1.0000000000000007,85299.40535222727,4639.677708475863,10,0.22752340972340565,0.22752340972340565,0.02808248466608527,3,1.4551915228366852e-11,2.9103830456733704e-11,2.842170943040401e-14,0,2.9103830456733704e-11,
