case,depot_id,product_id,x0,inventory_upper_bound,rhoUB,ub_zero,compatible,absolute_excess
210202,91017300,BAC---1041,0.0,603.3535714285715,0.0,no,yes,0.0
210202,91017300,BAC-O-4312,0.0,376.26428571428573,0.0,no,yes,0.0
210202,91017300,BAC-O-4325,0.0,769.3071428571429,0.0,no,yes,0.0
210202,91017300,BAC-O-6423,0.0,1228.8059991561881,0.0,no,yes,0.0
210202,91017300,BAC-O-6433,0.0,1638.4079988749174,0.0,no,yes,0.0
210202,91017300,CON-S-0130,0.0,846.9321428571429,0.0,no,yes,0.0
210202,91017300,SLI---0770,0.0,1112.3035714285716,0.0,no,yes,0.0
210202,91017300,SLI---1200,0.0,555.9107142857143,0.0,no,yes,0.0
210202,91017500,BAC---1041,0.0,63.2566569001852,0.0,no,yes,0.0
210202,91017500,BAC-O-4312,0.0,50.605325520148156,0.0,no,yes,0.0
210202,91017500,BAC-O-4325,0.0,75.3055439287919,0.0,no,yes,0.0
210202,91017500,BAC-O-6423,0.0,75.3055439287919,0.0,no,yes,0.0
210202,91017500,BAC-O-6433,0.0,100.40739190505587,0.0,no,yes,0.0
210202,91017500,CON-S-0130,0.0,158.141642250463,0.0,no,yes,0.0
210202,91017500,SLI---0770,0.0,126.5133138003704,0.0,no,yes,0.0
210202,91017500,SLI---1200,0.0,71.07489539346652,0.0,no,yes,0.0
210202,91017600,BAC---1041,0.0,34.3003576121895,0.0,no,yes,0.0
210202,91017600,BAC-O-4312,0.0,27.4402860897516,0.0,no,yes,0.0
210202,91017600,BAC-O-4325,0.0,40.833759062130355,0.0,no,yes,0.0
210202,91017600,BAC-O-6423,0.0,40.833759062130355,0.0,no,yes,0.0
210202,91017600,BAC-O-6433,0.0,54.44501208284048,0.0,no,yes,0.0
210202,91017600,CON-S-0130,0.0,85.75089403047375,0.0,no,yes,0.0
210202,91017600,SLI---0770,0.0,68.600715224379,0.0,no,yes,0.0
210202,91017600,SLI---1200,0.0,38.53972765414551,0.0,no,yes,0.0
210202,91017700,BAC---1041,0.0,469.3994995197465,0.0,no,yes,0.0
210202,91017700,BAC-O-4312,0.0,375.5195996157972,0.0,no,yes,0.0
210202,91017700,BAC-O-4325,0.0,558.8089279996982,0.0,no,yes,0.0
210202,91017700,BAC-O-6423,0.0,558.8089279996982,0.0,no,yes,0.0
210202,91017700,BAC-O-6433,0.0,745.0785706662642,0.0,no,yes,0.0
210202,91017700,CON-S-0130,0.0,846.9321428571429,0.0,no,yes,0.0
210202,91017700,SLI---0770,0.0,938.798999039493,0.0,no,yes,0.0
210202,91017700,SLI---1200,0.0,527.4151679997151,0.0,no,yes,0.0
210202,9624708,BAC---1041,0.0,6.7806932502584525,0.0,no,yes,0.0
210202,9624708,BAC-O-4312,0.0,5.424554600206762,0.0,no,yes,0.0
210202,9624708,BAC-O-4325,0.0,8.0722538693553,0.0,no,yes,0.0
210202,9624708,BAC-O-6423,0.0,8.0722538693553,0.0,no,yes,0.0
210202,9624708,BAC-O-6433,0.0,10.763005159140402,0.0,no,yes,0.0
210202,9624708,CON-S-0130,0.0,16.951733125646133,0.0,no,yes,0.0
210202,9624708,SLI---0770,0.0,13.561386500516905,0.0,no,yes,0.0
210202,9624708,SLI---1200,0.0,7.618756460964554,0.0,no,yes,0.0
210628,90015100,BAC---1041,0.0,330.9361695981282,0.0,no,yes,0.0
210628,90015100,BAC-O-4312,0.0,264.74893567850256,0.0,no,yes,0.0
210628,90015100,BAC-O-4325,0.0,393.97163047396214,0.0,no,yes,0.0
210628,90015100,BAC-O-6423,0.0,393.97163047396214,0.0,no,yes,0.0
210628,90015100,BAC-O-6433,0.0,525.2955072986161,0.0,no,yes,0.0
210628,90015100,CON-S-0130,0.0,587.0423076923078,0.0,no,yes,0.0
210628,90015100,SLI---0770,0.0,649.35,0.0,no,yes,0.0
210628,90015100,SLI---1200,0.0,324.4153846153846,0.0,no,yes,0.0
210628,90015700,BAC---1041,0.0,7.26218408959425,0.0,no,yes,0.0
210628,90015700,BAC-O-4312,0.0,5.8097472716754,0.0,no,yes,0.0
210628,90015700,BAC-O-4325,0.0,8.645457249516964,0.0,no,yes,0.0
210628,90015700,BAC-O-6423,0.0,8.645457249516964,0.0,no,yes,0.0
210628,90015700,BAC-O-6433,0.0,11.527276332689286,0.0,no,yes,0.0
210628,90015700,CON-S-0130,0.0,18.155460223985624,0.0,no,yes,0.0
210628,90015700,SLI---0770,0.0,14.5243681791885,0.0,no,yes,0.0
210628,90015700,SLI---1200,0.0,8.159757404038483,0.0,no,yes,0.0
210628,90016100,BAC---1041,0.0,346.63846153846157,0.0,no,yes,0.0
210628,90016100,BAC-O-4312,0.0,322.0269230769231,0.0,no,yes,0.0
210628,90016100,BAC-O-4325,0.0,518.4000000000001,0.0,no,yes,0.0
210628,90016100,BAC-O-6423,0.0,822.0609933144997,0.0,no,yes,0.0
210628,90016100,BAC-O-6433,0.0,1096.0813244193328,0.0,no,yes,0.0
210628,90016100,CON-S-0130,0.0,587.0423076923078,0.0,no,yes,0.0
210628,90016100,SLI---0770,0.0,649.35,0.0,no,yes,0.0
210628,90016100,SLI---1200,0.0,324.4153846153846,0.0,no,yes,0.0
210628,90016200,BAC---1041,0.0,59.628991600679164,0.0,no,yes,0.0
210628,90016200,BAC-O-4312,0.0,47.70319328054333,0.0,no,yes,0.0
210628,90016200,BAC-O-4325,0.0,70.98689476271329,0.0,no,yes,0.0
210628,90016200,BAC-O-6423,0.0,70.98689476271329,0.0,no,yes,0.0
