case,sample,product,g,generation_iteration,violation_at_generation,dual_feasible,strong_duality_error,generation_tightness_error,cut_rhs_at_sample,exact_value_at_sample,validity_violation
210202,1,CON-S-0130,1,1,176080.35714285716,True,2.9103830456733704e-11,2.9103830456733704e-11,-44797.600738955865,954.7368824398867,0.0
210202,1,CON-S-0130,2,1,184539.82857142857,True,0.0,0.0,-36338.12931038442,1010.4445465948244,0.0
210202,1,SLI---0770,0,1,441349.6982142857,True,0.0,0.0,-297176.4743074823,1968.8564576336064,0.0
210202,1,SLI---0770,1,1,452399.7019285714,True,5.820766091346741e-11,5.820766091346741e-11,-286126.4705931966,2066.7476118463387,0.0
210202,1,SLI---0770,2,1,462156.4572857142,True,1.1641532182693481e-10,1.1641532182693481e-10,-276369.7152360537,2141.325039912137,0.0
210202,1,SLI---1200,0,1,303982.2732142857,True,0.0,0.0,-225924.32637627714,1078.2704225352393,0.0
210202,1,SLI---1200,1,1,314876.06985714287,True,0.0,0.0,-215030.52973342,1197.7931876336716,0.0
210202,1,SLI---1200,2,1,323407.61050000007,True,0.0,0.0,-206498.9890905628,1256.5279607926066,0.0
210202,1,BAC---1041,0,2,4170.807655086165,True,9.094947017729282e-13,9.094947017729282e-13,-2882.5121388142506,4060.9263966374465,0.0
210202,1,BAC---1041,1,2,4170.807655086164,True,0.0,0.0,799.756432614322,5528.265771921074,0.0
210202,1,BAC---1041,2,2,1488.650729752606,True,0.0,0.0,1211.6645072807587,5676.345127983164,0.0
210202,1,BAC-O-4312,0,2,2239.2206515038542,True,0.0,0.0,628.2828633735926,1215.852366780696,0.0
210202,1,BAC-O-4312,1,2,1281.6458470263115,True,1.8189894035458565e-12,1.8189894035458565e-12,-1066.3732085459415,1757.420165722076,0.0
210202,1,BAC-O-4325,0,2,3387.142195459708,True,0.0,0.0,-2957.9979977431067,2450.292531470057,0.0
210202,1,BAC-O-4325,1,2,1422.683837362526,True,4.547473508864641e-12,4.547473508864641e-12,-19421.130164514238,2782.7897056933202,0.0
210202,1,BAC-O-4325,2,2,70.12717128544591,True,9.094947017729282e-13,9.094947017729282e-13,-17117.22400743224,3044.015932259672,0.0
210202,1,BAC-O-6423,0,2,5273.027656370079,True,9.094947017729282e-13,9.094947017729282e-13,4550.58889628173,4769.359263060168,0.0
210202,1,BAC-O-6423,1,2,2815.291704463839,True,1.8189894035458565e-12,1.8189894035458565e-12,5186.917944375486,6805.034682988025,0.0
210202,1,BAC-O-6423,2,2,109.72128875684757,True,1.8189894035458565e-12,1.8189894035458565e-12,7951.061518725033,8343.222199839909,0.0
210202,1,BAC-O-6433,0,2,9705.758832716041,True,1.8189894035458565e-12,1.8189894035458565e-12,10763.93656868573,12170.07915473662,0.0
210202,1,BAC-O-6433,1,2,7392.318266287792,True,1.8189894035458565e-12,1.8189894035458565e-12,11544.561002257477,14159.730083308048,0.0
210202,1,BAC-O-6433,2,2,4076.042564367288,True,5.4569682106375694e-12,5.4569682106375694e-12,11958.146557818656,15581.702664994942,0.0
210202,1,CON-S-0130,0,2,1862.065382099695,True,9.094947017729282e-13,9.094947017729282e-13,-13437.800408543662,800.2482083640716,0.0
210202,1,CON-S-0130,1,2,5197.779667813981,True,2.7284841053187847e-12,2.7284841053187847e-12,-10102.08612282938,954.7368824398867,0.0
210202,1,CON-S-0130,2,2,1427.4244016132616,True,0.0,0.0,-7132.464922355764,1010.4445465948244,0.0
210202,1,SLI---0770,0,2,7800.3257642316385,True,7.275957614183426e-12,7.275957614183426e-12,-88531.39641196345,1968.8564576336064,0.0
210202,1,SLI---0770,1,2,11815.699433993406,True,3.637978807091713e-12,3.637978807091713e-12,-85099.96795939267,2066.7476118463387,0.0
210202,1,SLI---0770,2,2,8600.168317755644,True,7.275957614183426e-12,7.275957614183426e-12,-81539.16550420187,2141.325039912137,0.0
210202,1,SLI---1200,0,2,4527.375917985139,True,5.4569682106375694e-12,5.4569682106375694e-12,-68330.03794182243,1078.2704225352393,0.0
210202,1,SLI---1200,1,2,8378.196540864294,True,7.275957614183426e-12,7.275957614183426e-12,-64479.217318943265,1197.7931876336716,0.0
210202,1,SLI---1200,2,2,4803.1915408643,True,7.275957614183426e-12,7.275957614183426e-12,-61277.88874751469,1256.5279607926066,0.0
210202,1,BAC---1041,0,3,693.318773234003,True,0.0,0.0,-7838.470028314503,4060.9263966374465,0.0
210202,1,BAC---1041,1,3,693.3187732340011,True,0.0,0.0,-4156.201456885934,5528.265771921074,0.0
