case,gamma,beta,lambda_r,comparison_status,objective_difference,first_stage_difference,robust_recourse_difference,maximum_x_difference,fr_min_difference,exact_certification_pass,prb_certification_pass,exact_first_stage_feasible,prb_first_stage_feasible
210628,0,1.1,0.0,EXACT_SOLUTION_IDENTITY,6.111804395914078e-10,4.3655745685100555e-11,5.602487362921238e-10,1.1723386705853045e-09,1.7763568394002505e-15,True,True,True,True
210628,0,1.1,0.0025,EXACT_SOLUTION_IDENTITY,1.7462298274040222e-10,0.0,1.6552803572267294e-10,4.7123194235609844e-11,1.887379141862766e-15,True,True,True,True
210628,0,1.1,0.05,EXACT_SOLUTION_IDENTITY,2.9103830456733704e-11,7.275957614183426e-12,5.4569682106375694e-12,1.1368683772161603e-12,9.103828801926284e-15,True,True,True,True
210628,0,1.1,0.2,EXACT_SOLUTION_IDENTITY,2.9103830456733704e-11,1.4551915228366852e-11,7.275957614183426e-12,3.552713678800501e-13,2.220446049250313e-15,True,True,True,True
210628,1,0.9,0.0,EXACT_SOLUTION_IDENTITY,1.8917489796876907e-10,7.275957614183426e-12,2.0372681319713593e-10,2.1864821064809803e-10,1.2212453270876722e-15,True,True,True,True
210628,1,0.9,0.0025,EXACT_SOLUTION_IDENTITY,6.984919309616089e-10,7.275957614183426e-12,7.057678885757923e-10,9.256666544388281e-10,7.527312106958561e-14,True,True,True,True
210628,1,0.9,0.05,EXACT_SOLUTION_IDENTITY,7.275957614183426e-11,2.9103830456733704e-11,1.0913936421275139e-10,8.023448572203051e-11,5.741296327244072e-12,True,True,True,True
210628,1,0.9,0.2,EXACT_SOLUTION_IDENTITY,9.458744898438454e-10,3.7834979593753815e-10,6.039044819772243e-10,2.020783540501725e-11,4.107603146508154e-12,True,True,True,True
210628,1,1.0,0.0,EXACT_SOLUTION_IDENTITY,2.9103830456733704e-11,7.275957614183426e-12,3.2741809263825417e-11,3.097966327914037e-10,1.3066214776813467e-12,True,True,True,True
210628,1,1.0,0.0025,EXACT_SOLUTION_IDENTITY,2.0372681319713593e-10,2.9103830456733704e-10,6.548361852765083e-11,1.729745235934388e-10,7.608358387756198e-13,True,True,True,True
210628,1,1.0,0.05,EXACT_SOLUTION_IDENTITY,5.820766091346741e-11,1.4551915228366852e-11,4.729372449219227e-11,1.5205614545266144e-12,3.689271110829395e-13,True,True,True,True
210628,1,1.0,0.2,EXACT_SOLUTION_IDENTITY,4.3655745685100555e-11,2.1827872842550278e-11,2.546585164964199e-11,1.0646772352629341e-10,2.687849942617504e-13,True,True,True,True
210628,1,1.1,0.0,EXACT_SOLUTION_IDENTITY,3.637978807091713e-10,2.1100277081131935e-10,1.5279510989785194e-10,6.8051519974687835e-09,6.940781283049091e-12,True,True,True,True
210628,1,1.1,0.0025,EXACT_SOLUTION_IDENTITY,2.9103830456733704e-11,7.275957614183426e-12,2.1827872842550278e-11,2.7540636438061483e-11,2.554623179662485e-13,True,True,True,True
210628,1,1.1,0.05,EXACT_SOLUTION_IDENTITY,1.4551915228366852e-11,7.275957614183426e-12,0.0,7.858602657506708e-12,9.347633778133968e-12,True,True,True,True
210628,1,1.1,0.2,EXACT_SOLUTION_IDENTITY,0.0,7.275957614183426e-12,0.0,1.1652900866465643e-12,3.3306690738754696e-15,True,True,True,True
210628,2,0.9,0.0,EXACT_SOLUTION_IDENTITY,1.4551915228366852e-11,1.4551915228366852e-11,1.4551915228366852e-11,3.5707259371520195e-10,6.816769371198461e-14,True,True,True,True
