case,gamma,beta,lambda_r,scenario_count,fr_min_robust,average_fill_rate_in_worst_service_scenario,worst_region,worst_scenario,total_shortage_in_worst_service_scenario,robust_recourse_from_direct_scenarios
210628,1,1.0,0.0,97,0.6569909879080537,0.9714159156590044,12,8:BAC-O-6433,349.4734127044485,24588.035144457863
210628,1,1.0,0.0025,97,0.6544333848697499,0.9712027820724742,12,8:BAC-O-6433,352.079216723098,24661.230410594006
210628,1,1.0,0.05,97,0.6367912419737792,0.9665833456040304,12,8:BAC-O-6433,382.6411877091023,25455.444913567808
210628,1,1.0,0.2,97,0.6197328693508174,0.9569059080214427,12,8:BAC-O-6433,425.62223636760115,27362.460016145833
210628,1,1.1,0.0,97,0.8215448595874154,0.9851287382989509,12,8:BAC-O-6433,181.81833344343787,17241.626370536687
210628,1,1.1,0.0025,97,0.8213601651700712,0.9851133470975054,12,8:BAC-O-6433,182.00650864018613,17235.99442305379
210628,1,1.1,0.05,97,0.8211619497209776,0.9850968291434148,12,8:BAC-O-6433,182.20845968812722,17241.729710817188
210628,1,1.1,0.2,97,0.7878040623963265,0.9823170051996938,12,8:BAC-O-6433,216.1950148892812,17609.851793527825
210628,2,0.9,0.0,4657,0.23754753652880656,0.790112349001007,12,5:BAC-O-4325;5:CON-S-0130,1178.088676079342,59687.63625792421
210628,2,0.9,0.0025,4657,0.236660055621441,0.7906493366029189,12,5:BAC-O-4325;5:CON-S-0130,1178.0352978224669,60156.86168118248
210628,2,0.9,0.05,4657,0.27944881242202,0.8939480289474492,12,1:BAC-O-6433;7:BAC-O-6433,861.734860427402,64672.222731282985
210628,2,0.9,0.2,4657,0.17641817932393378,0.8531076078256365,12,3:SLI---1200;5:BAC-O-4325,1077.3847183389287,76686.13264348537
210628,2,1.0,0.0,4657,0.5771762929364627,0.9647646910780376,12,7:BAC-O-6433;8:BAC-O-6433,430.79230769665946,29855.798264720943
210628,2,1.0,0.0025,4657,0.577176292936945,0.9642142201463187,12,7:BAC-O-6433;8:BAC-O-6433,432.992497666493,29944.24400012975
210628,2,1.0,0.05,4657,0.5771762929376063,0.9556458165790218,12,7:BAC-O-6433;8:BAC-O-6433,463.40492363810216,30909.967931088573
210628,2,1.0,0.2,4657,0.5512374480899824,0.9322774756520867,12,7:BAC-O-6433;8:BAC-O-6433,528.4966962380158,33328.80169546314
210628,2,1.1,0.0,4657,0.7449767539896205,0.9787480628324682,12,7:BAC-O-6433;8:BAC-O-6433,259.829453339037,18906.728590834435
210628,2,1.1,0.0025,4657,0.7448165217320406,0.9787347101443368,12,7:BAC-O-6433;8:BAC-O-6433,259.99270535839406,18908.56848181523
210628,2,1.1,0.05,4657,0.7436390313709367,0.978636585947578,12,7:BAC-O-6433;8:BAC-O-6433,261.19238688399577,18921.608631700128
210628,2,1.1,0.2,4657,0.6964221182476273,0.9747018431872996,12,7:BAC-O-6433;8:BAC-O-6433,309.2991572161723,19787.39171227148
