run_id,case,Gamma,lambda_R,material_reconfiguration,canonical_total_adjustment,RI,changed_pair_count,top_adjustment_share,active_depots,active_depot_ids,positive_inventory_depot_ids,opened_depots,closed_depots,network_change,inventory_cost,reconfiguration_cost,robust_recourse_cost
E7-210310-G2-L0500,210310,2,0.05,False,1.9437003118127905e-09,3.4895458674603015e-12,0,0.7272853557739585,4,90018300|90018400|90019100|91017500,90018300|90018400|90019100|91017500,,,False,74874.3999999175,0.0,638420.4557077837
E7-210310-G2-L2000,210310,2,0.2,False,6.342416014604169e-08,1.1386607008790608e-10,0,0.49981352557433173,4,90018300|90018400|90019100|91017500,90018300|90018400|90019100|91017500,,,False,74874.39999991693,-1.013109511038273e-06,638420.4557076385
E7-210310-G4-L0025,210310,4,0.0025,True,443.6242197798312,0.796443285742042,7,0.2386893750548532,2,90018400|90019100,90018400|90019100,,90018300|91017500,True,75209.39210336332,154.07989655418214,672262.3303077167
E7-210310-G4-L0500,210310,4,0.05,True,146.6383724244373,0.2632614315051285,4,0.38421492619659287,4,90018300|90018400|90019100|91017500,90018300|90018400|90019100|91017500,,,False,74248.74294473582,625.6570551816772,673329.2538777936
E7-210310-G4-L2000,210310,4,0.2,True,6.333333343947547,0.011370300793443163,2,0.7999999986605204,4,90018300|90018400|90019100|91017500,90018300|90018400|90019100|91017500,,,False,74773.0666682741,101.33333164342191,675583.5027330171
E7-210330-G0-L0025,210330,0,0.0025,False,1.90156708157474e-08,3.80009408793866e-11,0,0.5639600888231161,2,90016100|9624708,90016100|9624708,,,False,64037.57142795552,2.6373814630966864e-09,522702.1150428213
E7-210330-G0-L0500,210330,0,0.05,False,5.2548614348779665e-09,1.050132181247047e-11,0,0.7272742023592534,2,90016100|9624708,90016100|9624708,,,False,64037.57142795815,0.0,522702.1150428376
E7-210330-G0-L2000,210330,0,0.2,False,5.254690904621384e-09,1.0500981024587605e-11,0,0.7272653516007421,2,90016100|9624708,90016100|9624708,,,False,64037.57142795816,0.0,522702.11504283757
E7-210330-G2-L0025,210330,2,0.0025,True,30.421682325102328,0.06079472886806261,4,0.72826328842382,2,90016100|9624708,90016100|9624708,,,False,64030.94150400081,6.629923957343534,591858.9571010554
E7-210330-G2-L0500,210330,2,0.05,True,32.63165697755088,0.06521114504009128,2,0.7466666666666678,2,90016100|9624708,90016100|9624708,,,False,63898.34302485392,139.2284031042169,592009.201826656
E7-210330-G2-L2000,210330,2,0.2,True,39.169642849143045,0.07827666436801795,4,0.7999999621817854,2,90016100|9624708,90016100|9624708,,,False,63410.85714237186,626.714285586282,592607.7785968073
E7-210330-G4-L0025,210330,4,0.0025,True,71.82586049252993,0.14353689147412918,2,0.7282633371169119,2,90016100|9624708,90016100|9624708,,,False,64021.91811897454,15.653308983616071,625127.644766705
E7-210330-G4-L0500,210330,4,0.05,True,77.0436301537359,0.15396408903865286,4,0.7358538991738323,2,90016100|9624708,90016100|9624708,,,False,63708.85193930221,328.71948865594,625504.2753380863
E7-210330-G4-L2000,210330,4,0.2,True,39.16964284914299,0.07827666436801783,4,0.7999999621817866,2,90016100|9624708,90016100|9624708,,,False,63410.85714237185,626.7142855862802,626890.3385968072
E7-210323-G0-L0025,210323,0,0.0025,False,1.6759368115515372e-08,3.1626990391977284e-11,0,0.500627604385965,2,90016100|9624708,90016100|9624708,,,False,66695.14285663389,1.255374870723358e-09,503914.82679452456
E7-210323-G0-L0500,210323,0,0.05,False,2.842170943040401e-14,5.363526386455982e-17,0,1.0,2,90016100|9624708,90016100|9624708,,,False,66695.14285663515,0.0,503914.82679454767
E7-210323-G0-L2000,210323,0,0.2,False,0.0,0.0,0,0.0,2,90016100|9624708,90016100|9624708,,,False,66695.14285663515,0.0,503914.82679454767
E7-210323-G2-L0025,210323,2,0.0025,True,19.477490542920858,0.03675642196142806,2,0.7282633369207543,2,90016100|9624708,90016100|9624708,,,False,66690.89804598698,4.244810649413182,558774.1080623845
E7-210323-G2-L0500,210323,2,0.05,True,20.892427425639706,0.039426582010814094,2,0.7466666664690438,2,90016100|9624708,90016100|9624708,,,False,66606.00183302385,89.14102361131269,558871.0260758662
E7-210323-G2-L2000,210323,2,0.2,True,26.463741384867504,0.04994033717417623,2,0.8000000000000006,2,90016100|9624708,90016100|9624708,,,False,66271.72299447727,423.4198621578798,559252.6407539558
E7-210323-G4-L0025,210323,4,0.0025,True,957.2262867246343,1.8064038193159009,7,0.3459381352505039,4,90018300|90019100|91017500|9624708,90018300|90019100|91017500|9624708,90018300|90019100|91017500,90016100,True,66827.54983551751,317.82102111763186,597964.9162088687
E7-210323-G4-L0500,210323,4,0.05,True,135.33736534056567,0.2553982658414783,4,0.7049719078786831,2,90016100|9624708,90016100|9624708,,,False,66117.70343118209,577.4394254530805,598830.544072862
E7-210323-G4-L2000,210323,4,0.2,True,36.48214284656741,0.06884629380620588,2,0.8000000000000002,2,90016100|9624708,90016100|9624708,,,False,66111.42857109007,583.7142855450785,601167.5057691551
E7-210428-G0-L0025,210428,0,0.0025,False,2.3494175493965486e-08,3.974518793888635e-11,0,0.5177926583494915,2,90016100|9624708,90016100|9624708,,,False,74689.19999934213,3.4437311310578903e-09,659917.8810822935
