run_id,case,Gamma,objective,normalized_objective,first_stage_economic_cost,robust_recourse_cost,normalized_robust_recourse,RI,RS,budget_utilization,total_adjustment,total_a_plus,total_a_minus,changed_pair_count,active_depots,active_depot_ids,opened_depots,closed_depots,shortage_cost,service_penalty,average_fill_rate,minimum_fill_rate,runtime_seconds,iterations,master_solves,cuts_added,product_subproblem_evaluations,status,certification_status,exact_certification_pass,reused_G2,global_coupling_diagnostic_status
E4-210129-G0,210129,0,826685.3068311452,1.0,90311.11199905834,736374.1948320869,1.0,4.556324793498921e-12,7.371969596088943e-14,0.9999999999999999,2.2192359061534717e-09,2.2192359061534717e-09,0.0,0,2,90016100|9624708,,,279236.89999999997,454923.5793750001,0.14742642735621023,3.4416913763379853e-15,0.08878529979847372,5,5,13,48,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210129-G1,210129,1,839702.9725342917,1.0157468211852536,90311.11199905834,749391.8605352334,1.0176780579690397,0.06837934290176036,0.002193139527199978,0.9999999999999999,46.42145378215295,11.760101624812046,34.66135215734091,3,2,90016100|9624708,,,284368.9076983881,463430.35611710814,0.1360563100611153,5.873079800267078e-14,0.26958639989607036,4,4,22,80,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210129-G2,210129,2,851260.2478325499,1.0297270809077343,90311.11199905832,760949.1358334916,1.0333728981459058,0.08565494889792966,0.0027472222773218145,0.9999999999999997,58.14953877504357,14.731216489677559,43.41832228536601,3,2,90016100|9624708,,,287602.61637560074,471530.151595398,0.13510097109495198,8.881784197001252e-16,1.1686394000425935,4,4,31,120,OPTIMAL,CERTIFIED_PRB_EXACT,True,True,PASS
E4-210129-G3,210129,3,862198.7673704275,1.0429588626359076,90311.11199905832,771887.6553713692,1.0482274647706529,0.10985650238891702,0.0035234418390830973,0.9999999999999997,74.57951966053186,18.893478314001232,55.68604134653062,3,2,90016100|9624708,,,291449.38632686116,478691.58694278053,0.12858770819487733,4.773959005888173e-15,3.998260600026697,4,4,42,160,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210129-G4,210129,4,872018.4248639799,1.0548372127316572,90311.11199905831,781707.3128649216,1.061562610899438,0.1684365118122768,0.005402286073586705,0.9999999999999996,114.34838968186945,28.968258719406762,85.38013096246269,4,2,90016100|9624708,,,296610.84279542556,483757.55042153737,0.12338646285301781,0.0,10.246090600034222,4,4,52,200,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210310-G0,210310,0,644331.8713743677,1.0,76394.0919999175,567937.7793744502,1.0,3.4895458674603015e-12,0.0,0.9999999999999998,0.0,0.0,0.0,0,4,90018300|90018400|90019100|91017500,,,215695.53333333327,350726.0956668212,0.1447839818107621,0.0,0.10715649998746812,5,5,13,48,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210310-G1,210310,1,694923.5207077011,1.0785179991568954,76394.0919999175,618529.4287077836,1.0890795632385242,3.4895106586322587e-12,0.0,0.9999999999999998,0.0,0.0,0.0,0,4,90018300|90018400|90019100|91017500,,,234679.26666666634,382334.0116675647,0.14478398181074595,0.0,0.3085135000292212,5,5,21,96,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210310-G2,210310,2,714814.5477077012,1.1093887784613123,76394.0919999175,638420.4557077837,1.1241028135352538,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0,4,90018300|90018400|90019100|91017500,,,242143.06666666668,394761.23866670334,0.14478398181076774,0.0,1.3473797999322414,5,5,33,144,OPTIMAL,CERTIFIED_PRB_EXACT,True,True,PASS
E4-210310-G3,210310,3,734277.0427073378,1.139594478139217,76394.09199974725,657882.9507075906,1.1583715234302772,1.1292745054121111e-10,-3.3161642663032083e-12,0.9999999999977713,-3.166691975585078e-08,0.0,-3.166691975585078e-08,0,4,90018300|90018400|90019100|91017500,,,249446.06666666668,406920.7336667287,0.144783981810768,0.0,4.023232100065798,4,4,43,160,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210310-G4,210310,4,749723.3458777111,1.1635670671986813,76394.0919999175,673329.2538777936,1.1855686984222564,0.2632614315051285,0.00818986179169919,0.9999999999999998,146.63837236103825,37.14838765141127,109.48998470962698,4,4,90018300|90018400|90019100|91017500,,,255550.28080453406,416964.16315513215,0.12688569403527872,0.0,15.278107000049204,8,8,64,360,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210330-G0,210330,0,588352.4624707957,1.0,65650.34742795816,522702.1150428376,1.0,1.050132181247047e-11,0.0,1.0,0.0,0.0,0.0,0,2,90016100|9624708,,,198101.81428571427,322716.8410714286,0.1352422770814142,0.0,0.08869959996081889,5,5,14,48,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210330-G1,210330,1,639246.4243279493,1.0865025050518589,65650.34742795816,573596.0768999911,1.0973670478700521,1.0501250814994872e-11,0.0,1.0,0.0,0.0,0.0,0,2,90016100|9624708,,,217198.98571428575,354513.6315000001,0.13524227708141393,0.0,0.23384519992396235,6,6,23,112,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210330-G2,210330,2,657659.5492546142,1.1177985836802011,65650.34742795814,592009.201826656,1.132593851812018,0.06521114504009128,0.002120756531517219,0.9999999999999998,32.63165697755088,8.266686434312852,24.36497054323803,2,2,90016100|9624708,,,223658.82196075816,366771.872688767,0.12751158681648178,4.440892098500626e-15,0.9831330000888556,5,5,33,144,OPTIMAL,CERTIFIED_PRB_EXACT,True,True,DIAGNOSTIC_TOLERANCE_CONTRACT_MISMATCH
E4-210330-G3,210330,3,674898.8098508997,1.1470994903576186,65650.34742795814,609248.4624229416,1.1655748941689497,0.10436685562769031,0.003394154336812566,0.9999999999999998,52.225174555278734,13.23037755400393,38.994797001274804,2,2,90016100|9624708,,,230896.37370339126,377277.01356576366,0.1233626437863921,4.440892098500626e-16,3.213654899969697,5,5,46,192,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,NUMERICAL_DIAGNOSTIC_TOLERANCE_ISSUE
E4-210330-G4,210330,4,691154.6227660445,1.1747288689224302,65650.34742795814,625504.2753380863,1.1966744678024186,0.15396408903865286,0.005007124890186796,0.9999999999999998,77.0436301537359,19.517719638946442,57.52591051478946,4,2,90016100|9624708,,,235545.19638808654,388607.7568082509,0.11660607722217609,7.605027718682322e-14,9.079976900015026,5,5,53,240,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210323-G0,210323,0,572191.0296511828,1.0,68276.20285663515,503914.82679454767,1.0,5.363526386455982e-17,0.0,1.0,0.0,0.0,0.0,0,2,90016100|9624708,,,191115.44285714233,310813.5182142858,0.1421594948800109,0.0,0.07482429989613593,5,5,13,48,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210323-G1,210323,1,603501.4674368738,1.0547202527882662,68276.20285663515,535225.2645802386,1.0621343848619413,3.158772937882843e-11,0.0,1.0,0.0,0.0,0.0,0,2,90016100|9624708,,,202864.19999999998,330375.19885714294,0.14215949488006333,0.0,0.26188299991190434,6,6,22,112,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210323-G2,210323,2,627147.2289325014,1.0960451954565258,68276.20285663517,558871.0260758662,1.1090585082223128,0.0394265819792268,0.0013055943342146462,1.0000000000000002,20.892427408901373,5.292748276921714,15.59967913197966,2,2,90016100|9624708,,,211446.30190274774,345626.4474510638,0.1374502434084508,1.6997514507011147e-13,1.014445299981162,4,4,31,120,OPTIMAL,CERTIFIED_PRB_EXACT,True,True,PASS
E4-210323-G3,210323,3,648642.5073306906,1.1336118074519865,68276.20285663514,580366.3044740555,1.1517150788473982,0.21133887056772357,0.006998395959302808,0.9999999999999998,111.98997707540963,28.370794192437078,83.61918288297255,4,2,90016100|9624708,,,220250.18627320838,359231.1536768804,0.11476735565989878,4.440892098500626e-16,3.4216307997703552,4,4,40,160,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210323-G4,210323,4,667106.7469294972,1.1658811696789035,68276.20285663517,598830.544072862,1.1883566671020234,0.2553982658414783,0.008457403916640984,1.0000000000000002,135.33736534056567,34.28546588627668,101.051899454289,4,2,90016100|9624708,,,227204.80659621774,370791.47656051914,0.11331826715511613,1.2212453270876722e-15,9.37629899987951,4,4,51,200,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210428-G0,210428,0,735829.857081666,1.0,75911.97599934557,659917.8810823205,1.0,3.324523706272712e-12,0.0,1.0,0.0,0.0,0.0,0,2,90016100|9624708,,,249885.46666666665,407772.93000000005,0.13302141299987194,9.992007221626409e-16,0.09894040017388761,5,5,13,48,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210428-G1,210428,1,775397.6450816704,1.0537730123604008,75911.97599934558,699485.6690823248,1.0599586541511952,3.209387463299813e-12,5.3794411737877164e-14,1.0000000000000002,1.361213364248215e-09,1.361213364248215e-09,0.0,0,2,90016100|9624708,,,264732.6666666667,432493.51800000004,0.13302141299987236,2.220446049250313e-16,0.33680459996685386,5,5,21,96,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210428-G2,210428,2,793717.3880816748,1.0786697229568711,75911.97599934557,717805.4120823293,1.0877192945659668,3.0942602355362093e-12,1.0758297342108241e-13,1.0,1.82907911039365e-09,1.293159357373952e-09,5.35919753019698e-10,0,2,90016100|9624708,,,271606.86666666664,443939.06100000005,0.1330214129998716,1.887379141862766e-15,1.4929630998522043,5,5,33,144,OPTIMAL,CERTIFIED_PRB_EXACT,True,True,PASS
E4-210428-G3,210428,3,810108.737081671,1.1009457271747554,75911.97599934557,734196.7610823255,1.1125577623054879,3.20992987839238e-12,5.3802976217916864e-14,1.0,1.3614300797826218e-09,1.3614300797826218e-09,0.0,0,2,90016100|9624708,,,277757.4666666663,454179.8100000001,0.1330214129998584,2.842170943040401e-14,5.133305999916047,5,5,45,192,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210428-G4,210428,4,826500.086081671,1.1232217313926445,75911.97599934557,750588.1100823254,1.1373962300450144,3.20992987839238e-12,5.3802976217916864e-14,1.0,1.3614300797826218e-09,1.3614300797826218e-09,0.0,0,2,90016100|9624708,,,283908.06666666357,464420.55900000007,0.1330214129998568,6.061817714453355e-14,15.068174100015312,6,6,59,280,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210611-G0,210611,0,536966.313767111,1.0,64656.25799801857,472310.05576909246,1.0,1.1724219869937388e-10,-3.203517858647579e-12,1.0000000000009681,-3.9540864582576774e-08,-2.1839887898167376e-08,-1.7700976684409397e-08,0,5,90015700|90016100|90038200|90038300|9624708,,,179271.25,291362.5125,0.14426357073257648,0.0,0.11170370015315711,5,5,13,48,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210611-G1,210611,1,592239.4131423113,1.1029358787657075,64656.25799795597,527583.1551443553,1.1170271492214117,9.997183665721659e-11,1.6195674877489566e-12,0.9999999999999999,3.4905057777665974e-08,3.450153599260375e-09,3.14549041784056e-08,0,5,90015700|90016100|90038200|90038300|9624708,,,200011.625,325895.236875,0.1442635707325768,0.0,0.36432289984077215,5,5,21,96,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210611-G2,210611,2,617415.6681423202,1.1498219763746689,64656.25799795597,552759.4101443642,1.1703316569118372,7.500210320133502e-11,1.7277089401035133e-12,0.9999999999999999,3.723573165890261e-08,5.664312993758358e-09,3.157141866514425e-08,0,5,90015700|90016100|90038200|90038300|9624708,,,209458.625,341624.49187500007,0.14426357073257684,0.0,1.7427417999133468,5,5,34,144,OPTIMAL,CERTIFIED_PRB_EXACT,True,True,PASS
E4-210611-G3,210611,3,632079.4975173202,1.177130634290517,64656.25799795597,567423.2395193642,1.2013786972953453,1.0912611454632943e-10,1.7277089401035133e-12,0.9999999999999999,3.723573165890261e-08,5.664312993758358e-09,3.157141866514425e-08,0,5,90015700|90016100|90038200|90038300|9624708,,,214960.9999999977,350785.94625000004,0.14426357073253365,0.0,5.206302599981427,5,5,47,192,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
E4-210611-G4,210611,4,645203.2900173202,1.2015712596398604,64656.25799795597,580547.0320193642,1.2291650896020467,1.0912611454632943e-10,1.7277089401035133e-12,0.9999999999999999,3.723573165890261e-08,5.664312993758358e-09,3.157141866514425e-08,0,5,90015700|90016100|90038200|90038300|9624708,,,219885.5,358985.23875,0.1442635707325769,0.0,14.241052800090984,5,5,60,240,OPTIMAL,CERTIFIED_PRB_EXACT,True,False,PASS
