scale,seed,method,status,exact_certification,objective,iterations,cuts,core_runtime_seconds,master_runtime_seconds,oracle_runtime_seconds,certification_runtime_seconds,peak_process_tree_memory_gib,iter90,iter95,iter99
L10,20260926,pure_benders,OPTIMAL,True,2032984.9093271,15,14,1.4349458999931812,0.3069621000031475,0.38330929999938235,0.4778602999576833,0.0638580322265625,2,2,3
L10,20260927,aggregate_benders_structured_oracle,OPTIMAL,True,1620696.4517568764,10,9,30.679404400027124,0.14407280000159517,19.671898799977498,1.6412188000103924,1.8149909973144531,2,2,3
L10,20260927,prb_benders,OPTIMAL,True,1620696.451756877,5,51,20.89650729999994,0.0750832999474369,10.122672800032888,1.7570768999867141,1.8135108947753906,2,2,2
L10,20260927,pure_benders,OPTIMAL,True,1620696.451756876,11,10,1.13460039999336,0.2060973000479862,0.3163969999877736,0.4070475000189617,0.056385040283203125,2,2,3
L10,20260928,aggregate_benders_structured_oracle,OPTIMAL,True,2293258.4630243042,8,7,27.330569999990985,0.15236450004158542,16.72798820002936,1.7582232000131626,1.8141937255859375,2,2,2
L10,20260928,prb_benders,OPTIMAL,True,2293258.463024322,6,57,26.935552500013728,0.15886570001021028,14.107918299967423,3.067820099997334,1.8145980834960938,2,2,2
L10,20260928,pure_benders,OPTIMAL,True,2293258.4630243047,8,7,0.843550099991262,0.14726440000231378,0.219754199963063,0.2729055999661796,0.058917999267578125,2,2,2
L10,20260929,aggregate_benders_structured_oracle,OPTIMAL,True,2557651.1119139325,10,9,31.39476039999863,0.14840329994331114,20.33158369990997,1.7666030000254977,1.814971923828125,2,2,2
L10,20260929,prb_benders,OPTIMAL,True,2557651.111913692,7,61,25.92823329998646,0.1268304000259377,14.619185599964112,1.754450700012967,1.8148536682128906,2,2,2
L10,20260929,pure_benders,ERROR,,,,,,,,,0.06964111328125,,,
L10,20260930,aggregate_benders_structured_oracle,OPTIMAL,True,2321948.5641603973,17,16,44.4664018000185,0.2539680999761913,33.292383899970446,1.7554992999939714,1.8156929016113281,2,2,2
L10,20260930,prb_benders,OPTIMAL,True,2321948.5641603903,8,59,26.68595759998425,0.12416159998974763,15.3913365000044,1.7189903999969829,1.8170356750488281,2,2,2
L10,20260930,pure_benders,OPTIMAL,True,2321948.564159995,18,17,1.5724656999809667,0.30496520004817285,0.4294893000042066,0.5634375000081491,0.06238555908203125,2,2,2
XL10,20260921,aggregate_benders_structured_oracle,OPTIMAL,True,3153985.811677928,15,14,116.1820436999842,0.36012939998181537,85.81437020009616,5.02751059998991,4.862113952636719,2,2,2
XL10,20260921,prb_benders,OPTIMAL,True,3153985.8116782038,6,62,66.46377590001794,0.16744839999591932,34.526565700012725,4.984610000014072,4.86676025390625,2,2,2
XL10,20260921,pure_benders,OPTIMAL,True,3153985.8116777847,16,15,2.3394861000124365,0.396524000010686,0.6085050000692718,0.9142516999563668,0.07232666015625,2,2,2
