row_type,method,fold_a,fold_b,top5_a,top5_b,intersection_size,union_size,jaccard_overlap,average_jaccard,minimum_jaccard,maximum_jaccard
fold_summary,logistic_full,210428,ALL_OTHER_FOLDS,Gamma|beta|demand_density|incumbent_inventory_concentration_across_depots|total_deviation,,,,,0.47108843537414963,0.25,0.6666666666666666
fold_summary,logistic_full,210611,ALL_OTHER_FOLDS,Gamma|demand_density|incumbent_inventory_concentration_across_depots|incumbent_inventory_concentration_across_products|nominal_demand_cv,,,,,0.46768707482993194,0.25,1.0
fold_summary,logistic_full,210628,ALL_OTHER_FOLDS,Gamma|beta|capacity_slack_ratio|incumbent_capacity_utilization|incumbent_inventory_concentration_across_depots,,,,,0.32653061224489793,0.25,0.42857142857142855
method_summary,logistic_full,ALL_FOLDS,ALL_FOLDS,,,,,,0.40858843537414963,0.25,1.0
fold_pair,tree_full,210129,210202,Gamma|beta|capacity_slack_ratio|demand_density|maximum_nominal_demand_to_mean_ratio,Gamma|beta|incumbent_inventory_concentration_across_depots|total_nominal_demand|transport_cost_cv,2,8,0.25,,,
fold_pair,tree_full,210129,210310,Gamma|beta|capacity_slack_ratio|demand_density|maximum_nominal_demand_to_mean_ratio,Gamma|beta|capacity_slack_ratio|fixed_cost_cv|transport_cost_cv,3,7,0.42857142857142855,,,
fold_pair,tree_full,210129,210323,Gamma|beta|capacity_slack_ratio|demand_density|maximum_nominal_demand_to_mean_ratio,Gamma|beta|capacity_slack_ratio|incumbent_capacity_utilization|incumbent_inventory_concentration_across_depots,3,7,0.42857142857142855,,,
fold_pair,tree_full,210129,210330,Gamma|beta|capacity_slack_ratio|demand_density|maximum_nominal_demand_to_mean_ratio,Gamma|beta|capacity_slack_ratio|fixed_cost_cv|transport_cost_cv,3,7,0.42857142857142855,,,
fold_pair,tree_full,210129,210428,Gamma|beta|capacity_slack_ratio|demand_density|maximum_nominal_demand_to_mean_ratio,Gamma|beta|capacity_slack_ratio|fixed_cost_cv|inventory_to_nominal_demand_ratio,3,7,0.42857142857142855,,,
fold_pair,tree_full,210129,210611,Gamma|beta|capacity_slack_ratio|demand_density|maximum_nominal_demand_to_mean_ratio,Gamma|beta|incumbent_inventory_concentration_across_products|lambda_R|transport_cost_cv,2,8,0.25,,,
